Article,neuf_price,occasion_price,description
Alcatel A3 (5046D) 16 Go Noir majeur,"58,99 €",N/A,"Ecran 5"" Réseau 4G Android 6.0 (Marshmallow) Double SIM Couleur Noir majeur"
"Alcatel 3080G 2.4"" 4G Simple SIM candybar Volcano black","56,99 €",N/A,Réseau 4G
Alcatel 1 5033G - Double Sim - Noir Métallique,"70,87 €",N/A,Double SIM
"Alcatel 1 2021 (Double Sim - 8 Go, 1 Go RAM, ) Noir",35 €,N/A,Double SIM
"Alcatel 1B 2022 5031G 5.5"" HD+ 32GB 2GB Negro",62 €,N/A,
alcatel u10p 3qd,"19,93 €",N/A,
Alcatel 2057 volcan noir,"46,31 €",N/A,
Alcatel One Touch 2045x Noir,59 €,N/A,Single-SIM (SIM unique)
Alcatel One Touch Pop S3 4 Go Noir,70 €,N/A,
Alcatel 2057D blanc pur,"46,31 €",N/A,
Alcatel S by Sfr Rouge,"24,99 €",N/A,Single-SIM (SIM unique)
3085 Metallic Black,"76,04 €",N/A,
Alcatel One Touch C635X Violet,39 €,N/A,Single-SIM (SIM unique)
Alcatel OneTouch 10.35D Gris Noir,60 €,N/A,Single-SIM (SIM unique)
Alcatel 1 (2021) 16 Go Noir volcan,"54,99 €",N/A,Mémoire 16 Go / RAM 2 Go
Alcatel BG3 Bleu,"24,99 €",N/A,Single-SIM (SIM unique)
3085 Metallic Silver,"76,04 €",N/A,
Alcatel One Touch Club Rouge,N/A,N/A,Single-SIM (SIM unique)
1068 Black,"48,73 €",N/A,
Mobile Alcatel 5030D 32 Go Bleu,70 €,N/A,
Alcatel One Touch OT-213 Noir,"27,50 €",N/A,Single-SIM (SIM unique)
Alcatel OT S210 Noir,10 €,N/A,Single-SIM (SIM unique)
Alcatel OT 1030 Noir,30 €,N/A,Single-SIM (SIM unique)
Alcatel 3082 Gray,"61,48 €",N/A,
Alcatel 1 (2021) 1GB/16GB Negro (Volcano Black) Dual SIM 5033FR,87 €,N/A,Double SIM
Alcatel 1 (2021) 1GB/16GB Azul (Aqua Blue) Dual SIM 5033FR,"53,99 €",20 €,Double SIM
Alcatel One Touch 665 Bleu,"39,89 €",N/A,Single-SIM (SIM unique)
Alcatel 3085X Téléphone portable Senior 4G Metallic silver,"78,65 €",N/A,Réseau 4G Single-SIM (SIM unique)
Alcatel 1s (2020) 32 Go Gris Puissance,65 €,N/A,
"Alcatel 1 (2021) Volcano Black / 1+16gb / 5"" Sd+","53,49 €",N/A,
Alcatel 2057D Téléphone portable senior 2G Blanc Pure White,"55,14 €",N/A,Single-SIM (SIM unique)
Alcatel 1b 2022 Blue,"110,50 €",N/A,
"Alcatel 1068D Telefono Movil 1.8"" QQVGA BT Blanco","20,85 €",N/A,
"Alcatel 2057d Móvil Pure White / 2.4"" Vga / Bluetooth / Dual Sim","36,02 €",N/A,Double SIM
"Alcatel 2057D Telefono Movil 2.4"" QVGA BT Negro","35,36 €",N/A,
"Alcatel 3082x Móvil Metallic Silver / 2.4"" Vga","60,62 €",N/A,
ALCATEL 1SE 6+64 GREEN,99 €,N/A,
Alcatel VLE5 T&A Gris,10 €,N/A,Single-SIM (SIM unique)
Alcatel One Touch Star 6010X 4 Go Blanc,45 €,N/A,
2038x Cocoa Gray,"24,90 €",N/A,
Alcatel One Touch 228 Gris,20 €,N/A,Single-SIM (SIM unique)
Alcatel 1S (2021) 32 Go Bleu,"104,29 €",N/A,"Ecran 6.52"" Réseau 4G Mémoire 32 Go / RAM 3 Go Android 11 Double SIM"
ALCATEL OT-280 Noir,"6,08 €",N/A,Single-SIM (SIM unique)
Alcatel One Touch 585 Rose Mystère,199 €,N/A,Single-SIM (SIM unique)
Alcatel One Touch 5020X Blanc,N/A,N/A,Single-SIM (SIM unique)
Alcatel 3L (5029D) 64 Go Chrome foncé,"88,99 €",N/A,"Ecran 6.22"" Réseau 4G Mémoire 64 Go / RAM 4 Go Android 10 Double SIM Couleur Chrome foncé"
ALCATEL 3040 Noir,N/A,N/A,Single-SIM (SIM unique)
"Alcatel 3V (5099D) 16 Go Noir Spectre 6""",70 €,N/A,"Ecran 6"""
Alcatel 3 (2019) 32 Go Dégradé de noir,"78,99 €",N/A,"Ecran 5.9"" Réseau 4G Mémoire 32 Go / RAM 3 Go Android 8.1 Oreo Snapdragon 439 Double SIM Couleur Dégradé de noir"
Tiger Xl3 Cocoa Grey,"169,43 €",N/A,Single-SIM (SIM unique)
ALCATEL BE4 mobile phone,N/A,N/A,Single-SIM (SIM unique)
ALCATEL 2053D ALW8 black,"62,41 €",N/A,Single-SIM (SIM unique)
Alcatel 1 8 Go Noir métallisé,"45,99 €",N/A,"Ecran 5"" Réseau 4G Mémoire 8 Go / RAM 1 Go Android 8.0 Oreo (édition Go) Double SIM Couleur Noir métallisé"
Alcatel One Touch POP 3 (5.5) 5054D 8 Go Double SIM Blanc,35 €,N/A,"Ecran 5.5"" Réseau 4G Mémoire 8 Go / RAM 1 Go Android 5.1 (Lollipop) Snapdragon 210 Double SIM Couleur Blanc"
Alcatel 2035X 128 Mo,45 €,N/A,"Ecran 1.8"" Single-SIM (SIM unique)"
Alcatel One Touch 525,59 €,N/A,Single-SIM (SIM unique)
Alcatel A5 LED (5085D) 16 Go Double SIM Noir,69 €,N/A,"Ecran 5.2"" Réseau 4G Mémoire 16 Go / RAM 2 Go Android 6.0 (Marshmallow) Double SIM Couleur Noir"
Alcatel SHINE LITE 5080X 16 Go Noir majeur,60 €,N/A,"Ecran 5"" Réseau 4G Mémoire 16 Go / RAM 2 Go Android 6.0 (Marshmallow) MT6737 Single-SIM (SIM unique) Couleur Noir majeur"
Alcatel Idol 4 6055K 16 Go Gris foncé,99 €,N/A,"Ecran 5.2"" Réseau 4G Mémoire 16 Go / RAM 3 Go Android 6.0 (Marshmallow) Snapdragon 617 Double SIM Couleur Gris foncé"
Alcatel Idol 4 6055K 16 Go Double SIM Or,"348,25 €",N/A,"Ecran 5.2"" Réseau 4G Mémoire 16 Go / RAM 3 Go Android 6.0 (Marshmallow) Snapdragon 617 Double SIM Couleur Or"
Alcatel BF3 bf31w,"3,84 €",N/A,
Alcatel One Touch 292 Blanc,15 €,N/A,"Ecran 1.8"" Single-SIM (SIM unique) Couleur Blanc"
Alcatel One Touch POP 4S 5095K 16 Go Gris foncé,35 €,N/A,"Ecran 5.5"" Réseau 4G Mémoire 16 Go / RAM 2 Go Android 6.0 (Marshmallow) MT6755M Double SIM Couleur Gris foncé"
Alcatel PIXI 4 (5) 5010D 8 Go Double SIM Noir volcan,"56,99 €",N/A,"Ecran 5"" Réseau 3G Mémoire 8 Go / RAM 1 Go Android 6.0 (Marshmallow) MTK6580M Double SIM Couleur Noir volcan"
Alcatel One Touch Idol 3 (4.7) 6039Y 8 Go Gris foncé,40 €,N/A,"Ecran 4.7"" Réseau 4G Android 5.0 (Lollipop) Snapdragon 410 Single-SIM (SIM unique) Couleur Gris foncé"
Alcatel One Touch PIXI 3(4.5) 4 Go Double SIM Noir volcan,N/A,N/A,"Ecran 4.5"" Réseau 3G Mémoire 4 Go / RAM 512 Mo Android 4.4 (KitKat) Double SIM Couleur Noir volcan"
Alcatel One Touch POP C9 7047D 4 Go Double SIM Blanc uni,150 €,N/A,"Ecran 5.5"" Réseau 3G Mémoire 4 Go / RAM 1 Go Android 4.2 (Jelly Bean) MT6582M Double SIM Couleur Blanc uni"
Alcatel OT-208,8 €,N/A,"Ecran 3.7"" Single-SIM (SIM unique)"
Alcatel 1060,N/A,N/A,
