Article,neuf_price,occasion_price,description
Smartphone ASUS ROG Phone 7 Noir 16Go / 512Go,N/A,N/A,N/A
ASUS ROG Phone 6 256 Go Noir fantôme,N/A,N/A,N/A
ASUS ROG Phone 8 Pro 512 Go,"988,80 €",N/A,"Ecran 6.78"" Réseau 5G Mémoire 512 Go / RAM 16 Go Android 14 Snapdragon 8 Gen 3 Double SIM Couleur Noir"
ASUS ROG Phone 6 256 Go Noir fantôme,479 €,N/A,"Ecran 6.78"" Réseau 5G Mémoire 256 Go / RAM 12 Go Android 12 Snapdragon 8+ Gen 1 Double SIM Couleur Noir fantôme"
ASUS Zenfone 10 256 Go Bleu étoilé,"603,88 €",N/A,"Ecran 5.92"" Réseau 5G Mémoire 256 Go / RAM 8 Go Android 13 Snapdragon 8 Gen 2 Double SIM Couleur Bleu étoilé"
ASUS Zenfone 10 512 Go Noir minuit,"791,22 €",N/A,"Ecran 5.92"" Réseau 5G Mémoire 512 Go / RAM 16 Go Android 13 Snapdragon 8 Gen 2 Double SIM Couleur Noir minuit"
ASUS Zenfone 10 256 Go Blanc comète,"599,88 €",N/A,"Ecran 5.92"" Réseau 5G Mémoire 256 Go / RAM 8 Go Android 13 Snapdragon 8 Gen 2 Double SIM Couleur Blanc comète"
ASUS Zenfone 9 128 Go Noir minuit,"483,88 €",N/A,"Ecran 5.9"" Réseau 5G Mémoire 128 Go / RAM 8 Go Android 12 Snapdragon 8+ Gen 1 Double SIM Couleur Noir minuit"
Smartphone ASUS ROG Phone 7 Noir 16Go / 512Go,699 €,N/A,"Ecran 4.8"" Réseau 5G Mémoire 512 Go / RAM 16 Go Android Double SIM"
ASUS Zenfone 9 256 Go Blanc clair de lune,"499,88 €",N/A,"Ecran 5.9"" Réseau 5G Mémoire 256 Go / RAM 8 Go Android 12 Snapdragon 8+ Gen 1 Double SIM Couleur Blanc clair de lune"
ASUS Zenfone 11 Ultra 256 Go Bleu ciel,"826,88 €",N/A,"Ecran 6.78"" Réseau 5G Mémoire 256 Go / RAM 12 Go Android 14 Snapdragon 8 Gen 3 Double SIM Couleur Bleu ciel"
ASUS Zenfone 11 Ultra 512 Go Bleu ciel,"929,88 €",N/A,"Ecran 6.78"" Réseau 5G Mémoire 512 Go / RAM 16 Go Android 14 Snapdragon 8 Gen 3 Double SIM Couleur Bleu ciel"
ASUS Zenfone 11 Ultra 512 Go Noir éternel,"929,88 €",N/A,"Ecran 6.78"" Réseau 5G Mémoire 512 Go / RAM 16 Go Android 14 Snapdragon 8 Gen 3 Double SIM Couleur Noir éternel"
ASUS Zenfone 10 256 Go Noir minuit,"603,88 €",N/A,"Ecran 5.92"" Réseau 5G Mémoire 256 Go / RAM 8 Go Android 13 Snapdragon 8 Gen 2 Double SIM Couleur Noir minuit"
