Article,neuf_price,occasion_price,description
"Blackview BV6200 Pro (Double Sim - 128 Go, 6 Go RAM - 13 000 mAh) Noir","136,70 €",N/A,Double SIM
Blackview BV9200 256 Go Noir,"209,48 €",N/A,Mémoire 256 Go / RAM 8 Go Double SIM
"Blackview A52 Pro (Double Sim- 6.5''- 128 Go, 4 Go RAM) Noir","83,99 €",N/A,Double SIM
"Blackview BV7200 (Double Sim - Ecran de 6.1'' - 128 Go, 6 Go RAM - 5 180 mAh) Vert","176,28 €",N/A,Double SIM
"Blackview BV8900 Pro Téléphone Portable Incassable Android 13 6,5"" 16Go+256Go Caméra 64MP 10000mAh IP68 NFC Avec UWB - Vert","332,73 €",N/A,Mémoire 16 Go / RAM 8 Go Android Double SIM
"Blackview BV8800 (Double Sim - Ecran de 6.58'' - 128 Go, 8 Go RAM) Noir","221,12 €",N/A,Double SIM
"Blackview A200 Pro (Double Sim - 6.67"" - 256 Go, 12 Go RAM) Noir","206,99 €",N/A,Double SIM
Blackview Wave 6C 32 Go Violet lilas,"73,99 €",N/A,"Ecran 6.5"" Réseau 4G Mémoire 32 Go / RAM 2 Go Android 13 Double SIM Couleur Violet lilas"
"Blackview BV6200 (Double Sim - 64 Go, 4 Go RAM - 13 000 mAh) Noir","116,36 €",N/A,Double SIM
"Blackview BV6200 Pro (Double Sim - 128 Go, 4 Go RAM - 13 000 mAh) Noir","136,78 €",N/A,Double SIM
"Téléphone Portable Incassable Blackview BV5300 Plus Android 13 6,1"" 16Go+128Go 6580mAh 13MP IP68 Étanché Dual SIM Face ID - Noir","122,80 €",N/A,Android Double SIM
"Blackview BV7100 (Double Sim - Ecran de 6.583'' - 128 Go, 6 Go RAM - 13 000 mAh) Vert",181 €,N/A,Double SIM
"Blackview BV4800 (Double Sim - 6.56'' - 32 Go, 2 Go RAM) Vert","94,99 €",N/A,Double SIM
Blackview A55 Dual SIM 16GB 3GB RAM Blue,"98,59 €",N/A,Double SIM
"Téléphone Portable Débloqué Blackview Shark 8 16Go+256Go Android 13 6.78"" 2.4K 64MP 5000mAh NFC 3 Emplacements pour cartes - Gris",90 €,N/A,Android Double SIM
BlackView BV9300 256 Go Vert,212 €,N/A,"Ecran 6.6"" Réseau 4G Mémoire 256 Go / RAM 8 Go Doke 3.1 OS (basé sur Android 12) Helio G96 Double SIM Couleur Vert"
"Blackview N6000 (Double Sim - Ecran de 4.3'' - 256 Go, 8 Go RAM) Noir","170,58 €",N/A,Double SIM
"Blackview Color 8 (Double Sim - 6.75''- 128 Go, 8 Go RAM) Bleu","108,28 €",N/A,Double SIM
"Blackview BV4800 Smartphone Incassable Android 13 6.56"" HD+,5180mAh,4Go+32Go/1To,13MP+5MP, Dual SIM Face ID - Orange","94,99 €",N/A,Mémoire 32 Go / RAM 2 Go Android Double SIM
"Blackview A55 Pro (Double Sim, 6.528''- 64 Go, 4 Go RAM) Noir","120,24 €",N/A,Double SIM
"Telephone Portable Pas Cher 4G Blackview A52 6.5 pouces 2Go+64Go-TF 1To 5180mAh 13MP+5MP Android 12 Dual SIM,Face ID - Nuit polaire","79,20 €",N/A,"Ecran 5"" Réseau 4G Mémoire 64 Go / RAM 2 Go Android Double SIM"
"Blackview Smartphone BV4900 Pro Android 12.0 Écran 5,7 pouces 4Go + 64Go Téléphone Portable IP68 5580mAh - Orange","119,99 €",N/A,"Ecran 5.7"" Android Double SIM"
"Blackview Smartphone BV4900 Pro 64Go Android 10.0 Écran 13MP 5,7 pouces 5580mAh Téléphone Portable 4G IP68 Robuste IP68 - Orange","119,99 €",N/A,"Ecran 5.7"" Réseau 4G Android Double SIM"
"Blackview BL9000 Pro Téléphone Portable Incassable 5G (12+24)Go+512Go 6.78"" Double Écran 120Hz 50MP Android 14 NFC - Or","619,47 €",N/A,Réseau 5G Android Double SIM
"Smartphone Robuste Blackview BV4900 Pro 5,7"" Écran 64 Go 5580mAh Batterie IP68 étanche Téléphone 4G 13MP Double SIM - Orange","119,99 €",N/A,Réseau 4G Double SIM
Blackview Oscal C30 32 Go Bleu,90 €,N/A,Double SIM
"Blackview BL9000 Pro Téléphone Portable Incassable 5G (12+24)Go+512Go 6.78"" Double Écran 120Hz 50MP Android 14 NFC - Noir","619,47 €",N/A,Réseau 5G Android Double SIM
"Blackview N6000 SE Téléphone Portable Incassable 4,3"" QHD+ Android 13 12Go+128Go 13MP+8MP 3700mAh NFC,Dual SIM,Face ID - Noir","132,96 €",N/A,Android Double SIM
Blackview BV9300 Pro 256 Go Vert,190 €,N/A,Mémoire 256 Go / RAM 12 Go Double SIM
"Blackview BV6200 Pro (Double Sim - 128 Go, 6 Go RAM - 13 000 mAh) Vert","170,07 €",N/A,Double SIM
"Blackview A85 (6.56'' - Double Sim - 128 Go, 8 Go RAM) Noir","164,64 €",N/A,Double SIM
"Blackview A53 Pro (Double Sim, 6.52''- 64 Go, 4 Go RAM) Gris","120,50 €",N/A,Double SIM
"Blackview N6000 (Double Sim - Ecran de 4.3'' - 256 Go, 8 Go RAM) Orange","220,91 €",N/A,Double SIM
"Blackview N6000 SE Téléphone Portable Incassable 4,3"" QHD+ Android 13 12Go+128Go 13MP+8MP 3700mAh NFC,Dual SIM,Face ID - Orange","156,84 €",N/A,Android Double SIM
"Blackview A85 (6.56'' - Double Sim - 128 Go, 8 Go RAM) Bleu","164,64 €",N/A,Double SIM
"Blackview A85 (6.56'' - Double Sim - 128 Go, 8 Go RAM) Blanc","164,64 €",N/A,Double SIM
"Blackview N6000 SE Téléphone Portable Incassable 4,3"" QHD+ Android 13 12Go+128Go 13MP+8MP 3700mAh NFC,Dual SIM,Face ID - Vert","156,84 €",N/A,Android Double SIM
"Téléphone Portable Incassable Android 13 Blackview BV4800 6,56 pouces 6Go+64Go 5180mAh 13MP IP68 Smartphone 4G Dual SIM - Orange","124,05 €",N/A,Réseau 4G Mémoire 64 Go / RAM 3 Go Android Double SIM
"Smartphone Incassable Blackview BV9300 Pro 16Go+256Go 15080mAh Double écran 6.7"" 64MP+32MP Android 13 NFC 100LM - Orange","256,99 €",N/A,Android Double SIM
"Téléphone Portable Incassable Blackview BV5300 Plus Android 13 6,1"" 16Go+128Go 6580mAh 13MP IP68 Étanché Dual SIM Face ID - Vert","160,02 €",N/A,Android Double SIM
"Blackview A96 Téléphone Portable 6,5"" 2.4K 120Hz 24Go+256Go MTK Helio G99 Android 13 48MP Dual SIM,Face ID,NFC,Certifié TÜV - Noir",186 €,N/A,Mémoire 256 Go / RAM 2 Go Android Double SIM
"Smartphone Incassable Blackview BV9300 Pro 16Go+256Go 15080mAh(33W) Double écran 6.7"" 64MP+32MP Android 13 NFC 100LM - Noir","219,84 €",N/A,Android Double SIM
"Blackview BV6200 Pro (Double Sim - 128 Go, 6 Go RAM - 13 000 mAh) Noir","136,70 €",N/A,Double SIM
Blackview BV9200 256 Go Noir,"209,48 €",N/A,Mémoire 256 Go / RAM 8 Go Double SIM
"Blackview A52 Pro (Double Sim- 6.5''- 128 Go, 4 Go RAM) Noir","83,99 €",N/A,Double SIM
"Blackview BV7200 (Double Sim - Ecran de 6.1'' - 128 Go, 6 Go RAM - 5 180 mAh) Vert","176,28 €",N/A,Double SIM
"Blackview BV8900 Pro Téléphone Portable Incassable Android 13 6,5"" 16Go+256Go","332,73 €",N/A,Mémoire 16 Go / RAM 8 Go Android Double SIM
"Blackview BV8800 (Double Sim - Ecran de 6.58'' - 128 Go, 8 Go RAM) Noir","221,12 €",N/A,Double SIM
"Blackview A200 Pro (Double Sim - 6.67"" - 256 Go, 12 Go RAM) Noir","206,99 €",N/A,Double SIM
