Article,neuf_price,occasion_price,description
Brondi Amico Smartphone Pocket Nero,"68,87 €",N/A,
Brondi Amico Smartphone S B Nero,"86,37 €",N/A,
SALVALAVITA Phone SLV20 Gris,45 €,N/A,Single-SIM (SIM unique)
Brondi Amico Stiloso Nero,"57,48 €",N/A,
"Brondi 10279080 smartphone 14,5 cm (5.7') Double SIM Android 12 Go edition 4G USB","86,39 €",N/A,Réseau 4G Android Double SIM
"Brondi Amico Smartphone XL 15,2 cm (6') Double SIM Android 11 4G USB Type-C 2 Go 16","100,82 €",N/A,Réseau 4G Android Double SIM
"Brondi Midnight Sky 15,2 cm (6') Double SIM Android 11 Go Edition 4G USB Type-C 2 Go 16 Go","77,54 €",N/A,Réseau 4G Android Double SIM
Bundy Uno+ Dual-SIM Noir,30 €,N/A,Double SIM
"Brondi Amico Smartphone XS 5.0"" Noir DS ITA","93,60 €",N/A,"Ecran 5"""
Brondi PRESIDENT Double SIM Or,"57,72 €",N/A,"Ecran 3"" Double SIM Couleur Or"
