Article,neuf_price,occasion_price,description
CUBOT X90 16/256 Go Dual SIM Noir,149 €,N/A,Mémoire 256 Go / RAM 16 Go
cubot telephone intelligent kingkong 8 6gb 256gb 6.5 dual sim,"169,94 €",N/A,Double SIM
cubot telephone intelligent king kong 8gb 256gb 6.5 dual sim,179 €,N/A,Double SIM
cubot telephone intelligent p80 16gb 256gb 6.58 dual sim,"143,97 €","105,94 €",Double SIM
cubot telephone intelligent king kong star 12gb 256gb 6.78 dual sim,249 €,N/A,Double SIM
cubot telephone intelligent note 40 6gb 256gb 6.5 dual sim,110 €,N/A,Double SIM
cubot telephone intelligent king kong mini 3 6gb 128gb 4.5 dual sim,124 €,N/A,Double SIM
cubot telephone intelligent x70 12gb 256gb 6.5 dual sim,"189,99 €",N/A,Double SIM
cubot telephone intelligent note 50 8gb 256gb 6.5 dual sim,122 €,N/A,Double SIM
cubot telephone intelligent king kong star 12gb 256gb 6.78 dual sim,"324,94 €",N/A,Double SIM
cubot telephone intelligent kingkong 8 6gb 256gb 6.5 dual sim,140 €,N/A,Double SIM
cubot telephone intelligent note 50 8gb 256gb 6.5 dual sim,122 €,N/A,Double SIM
cubot telephone intelligent note 40 6gb 256gb 6.5 dual sim,"139,94 €",N/A,Double SIM
"Cubot POCKET 3 (4.5'', 64 Go, 4 GO RAM) Vert","149,95 €",N/A,
"Cubot KINGKONG Mini 2 Pro (Double Sim - 4'', 64 Go, 4 GO RAM) Rouge","149,95 €",N/A,Double SIM
"Cubot POCKET (Double Sim - 4'', 64 Go, 4 GO RAM) Noir","139,94 €",N/A,Double SIM
"Cubot POCKET (Double Sim - 4'', 64 Go, 4 GO RAM) Rouge & Noir","156,98 €",N/A,Double SIM
"Cubot POCKET (Double Sim - 4'', 64 Go, 4 GO RAM) Vert & Or",101 €,N/A,Double SIM
"Cubot KINGKONG 7 (Double Sim - 6.36'', 256 Go, 8 GO RAM) Noir","358,17 €",N/A,Double SIM
CUBOT P50 Dual SIM 128GB 6GB RAM Black,"149,95 €",N/A,Double SIM
Cubot Max 3 black EU,158 €,N/A,
Cubot King Kong 5 black EU,"219,31 €",N/A,
Cubot King Kong Mini 2 4G 32GB Dual-SIM orange EU,"99,94 €",N/A,Réseau 4G Double SIM
CUBOT Max 3 Dual SIM 64GB 4GB RAM Green,"183,25 €",N/A,Double SIM
CUBOT J10 Dual SIM 32GB 1GB RAM Blue,49 €,N/A,Double SIM
CUBOT X50 Dual SIM 256GB 8GB RAM Black,"256,08 €",N/A,Double SIM
CUBOT J10 Dual SIM 32GB 1GB RAM Black,35 €,N/A,Double SIM
Cubot X30 8/128GB black EU,125 €,N/A,
CUBOT J10 Dual SIM 32GB 1GB RAM Green,49 €,N/A,Double SIM
Cubot X30 8/128GB gradient green EU,136 €,N/A,
CUBOT X50 Dual SIM 128GB 8GB RAM Green,133 €,N/A,Double SIM
CUBOT Note 9 Dual SIM 32GB 3GB RAM Black,"124,89 €",N/A,Double SIM
CUBOT Note 9 Dual SIM 32GB 3GB RAM Green,"114,95 €",N/A,Double SIM
"Smartphone Cubot KING KONG 5 PRO 6,1"" 6 GB RAM 64 GB","234,31 €",N/A,
CUBOT X50 Dual SIM 128GB 8GB RAM Black,"234,92 €",N/A,Double SIM
CUBOT X30 Dual SIM 128GB 8GB RAM Blue,137 €,N/A,Double SIM
CUBOT Note 20 Dual SIM 64GB 3GB RAM Noir,90 €,N/A,Single-SIM (SIM unique)
CUBOT Note 20 Dual SIM 64GB 3GB RAM Vert,90 €,N/A,Single-SIM (SIM unique)
Cubot Kingkong 9 256 Go Dual-SIM Noir,159 €,N/A,Double SIM
