Article,neuf_price,occasion_price,description
Caterpillar CAT S42 Dual SIM 32GB 3GB RAM Noir,159 €,N/A,Single-SIM (SIM unique)
CAT S41 32 Go Noir,160 €,N/A,"Ecran 5"" Réseau 4G Mémoire 32 Go / RAM 3 Go Android 7.0 Nougat Helio P20 Double SIM"
Caterpillar CAT S62 Pro Dual SIM 128GB 6GB RAM Noir,440 €,N/A,Single-SIM (SIM unique)
Caterpillar CAT S62 Pro Dual SIM 128GB 6GB RAM Noir,"465,99 €","420,69 €",Double SIM
CAT S52 64 Go Noir,85 €,N/A,"Ecran 5.65"" Réseau 4G Mémoire 64 Go / RAM 4 Go Android 9.0 Pie Helio P35 Double SIM"
Smartphone CAT CATERPILAR S42 H+,"252,60 €",N/A,
CAT S62 Pro 4G 6GB RAM 128GB Black DS EU,"616,56 €",N/A,Réseau 4G
Cat B26 Noir Telefono Rugerizado Movil 2g 2.4'' 2mp 8gb Ram Ip68 Bluetooth,"168,99 €",N/A,
B40black 64+128mb 2.4in Android,"258,99 €",N/A,Android
CAT S42H+ 32 Go Noir,"260,31 €",N/A,"Ecran 5.5"" Réseau 4G Mémoire 32 Go / RAM 3 Go Android 10 Helio Double SIM Couleur Noir"
CAT S62 Pro 128 Go Noir,588 €,N/A,"Ecran 5.7"" Réseau 4G Mémoire 128 Go / RAM 6 Go Android 10 Snapdragon 660 Double SIM"
Caterpillar CAT S52 Dual SIM 64GB 4GB RAM Black,"338,12 €",N/A,Single-SIM (SIM unique)
CAT S61 noir Premium Bundle - Dual SIM débloqué logiciel original,500 €,N/A,Double SIM
CAT S61 64 Go Noir,400 €,N/A,"Ecran 5.2"" Réseau 4G Mémoire 64 Go / RAM 4 Go Android 8.0 Oreo Snapdragon 630 Double SIM"
CAT S40 16 Go Noir,"259,99 €",N/A,"Ecran 4.7"" Réseau 4G Mémoire 16 Go / RAM 1 Go Android 5.1 (Lollipop) Snapdragon 210 Single-SIM (SIM unique) Couleur Noir"
