Article,neuf_price,occasion_price,description
Crosscall Stellar X5 128 Go Noir,749 €,700 €,"Ecran 6.497"" Réseau 5G Mémoire 128 Go / RAM 8 Go Android 13 Double SIM Couleur Noir"
Crosscall Core M5 32 Go Noir,518 €,"169,90 €","Ecran 4.95"" Réseau 4G Mémoire 32 Go / RAM 3 Go Android 11 Double SIM Couleur Noir"
Crosscall Spider X5 128 Mo Noir,"54,77 €",58 €,"Ecran 2.4"" Réseau 3G Mémoire 128 Mo / RAM 64 Mo Single-SIM (SIM unique) Couleur Noir"
Crosscall Core X5 128 Go Noir,479 €,N/A,"Ecran 5.45"" Réseau 4G Mémoire 128 Go / RAM 6 Go Android 11 Snapdragon 665 Double SIM Couleur Noir"
Crosscall Core M5 64 Go Noir,"307,70 €",N/A,"Ecran 4.95"" Réseau 4G Mémoire 64 Go / RAM 4 Go Android 11 Double SIM Couleur Noir"
Crosscall Core X4 32 Go Noir,"259,99 €",N/A,"Ecran 5.45"" Réseau 4G Mémoire 32 Go / RAM 3 Go Android 9.0 Pie Snapdragon 450 Double SIM Couleur Noir"
CrossCall Trekker M1 Core 16 Go Anthracite/rouge,50 €,N/A,"Ecran 4.5"" Réseau 4G Mémoire 16 Go / RAM 2 Go Android 6.0.1 (Marshmallow) Snapdragon 210 Double SIM Couleur Anthracite/rouge"
Crosscall ACTION-X5 64 Go Noir,"440,06 €",305 €,"Ecran 5.45"" Réseau 4G Mémoire 64 Go / RAM 4 Go Android 11 Double SIM Couleur Noir"
Crosscall Core X5 64 Go Noir,"659,99 €",N/A,"Ecran 5.45"" Réseau 4G Mémoire 64 Go / RAM 4 Go Android 11 Snapdragon 665 Double SIM Couleur Noir"
Crosscall Core X4 64 Go Noir,"366,77 €",N/A,"Ecran 5.45"" Réseau 4G Mémoire 64 Go / RAM 4 Go Android 10 Snapdragon 450 Double SIM Couleur Noir"
Crosscall Core M4 32 Go Noir,79 €,N/A,"Ecran 4.95"" Réseau 4G Mémoire 32 Go / RAM 2 Go Android 9.0 Pie Snapdragon 215 Double SIM Couleur Noir"
Crosscall Core Z5 128 Go Noir,"871,81 €",N/A,"Ecran 6.08"" Réseau 5G Mémoire 128 Go / RAM 6 Go Android 12 Double SIM Couleur Noir"
Crosscall ACTION-X3,"99,99 €",N/A,Single-SIM (SIM unique)
CrossCall Trekker M1 Core 16 Go Anthracite/rouge,180 €,N/A,"Ecran 4.5"" Réseau 4G Mémoire 16 Go / RAM 2 Go Android 6.0.1 (Marshmallow) Snapdragon 210 Double SIM Couleur Anthracite/rouge"
Smartphone CROSSCALL Core M5 64Go,"288,07 €",N/A,"Ecran 4.9"" Réseau 4G+ Mémoire 64 Go / RAM 4 Go Android 12 Double SIM"
"Smartphone Crosscall Core-Z5 6.08"" 5G Double SIM 64 Go Noir","499,99 €",N/A,Réseau 5G Double SIM
"Pack Smartphone Crosscall Action-X5 5.45"" Double SIM 64 Go Noir + une perche","718,03 €",N/A,Double SIM
Crosscall Core X5 64 Go Noir,"502,27 €",N/A,"Ecran 5.45"" Réseau 4G Mémoire 64 Go / RAM 4 Go Android 11 Snapdragon 665 Double SIM Couleur Noir"
Crosscall ACTION-X5 64 Go Noir,N/A,N/A,"Ecran 5.45"" Réseau 4G Mémoire 64 Go / RAM 4 Go Android Double SIM Couleur Noir"
Pack Smartphone Crosscall Action X5 5.45' Double SIM 64 Go Noir + UNE Perche,579 €,N/A,Double SIM
Crosscall Core Z5 64 Go Noir,"615,15 €",N/A,"Ecran 6.08"" Réseau 5G Mémoire 64 Go / RAM 4 Go Android 12 Double SIM Couleur Noir"
Crosscall Core M5 Noir 32Go + X-Dock,350 €,N/A,
Crosscall WAKE Double SIM Noir Orange,N/A,N/A,Double SIM
Crosscall Core X3 16 Go Double SIM Noir,"88,90 €",N/A,Double SIM
SPIDER X1 NOIR,39 €,N/A,Single-SIM (SIM unique)
CrossCall Trekker X1 8 Go Gris,N/A,N/A,"Ecran 5"" Réseau 4G Mémoire 8 Go / RAM 1 Go Android 4.4.2 (KitKat) Couleur Gris"
Crosscall Core X3 16 Go Bleu foncé,91 €,N/A,"Ecran 5"" Réseau 4G Mémoire 16 Go / RAM 2 Go Android 8.1.0 Oreo Snapdragon 425 Double SIM Couleur Bleu foncé"
CrossCall Trekker X3 32 Go Rouge et noir,129 €,N/A,"Ecran 5"" Réseau 4G Mémoire 32 Go / RAM 3 Go Android 6.0.1 (Marshmallow) Snapdragon 617 Single-SIM (SIM unique) Couleur Rouge et noir"
Crosscall ACTION-X3 32 Go Noir,150 €,N/A,"Ecran 5"" Réseau 4G Mémoire 32 Go / RAM 3 Go Android 7.1.2 (Nougat) Double SIM (SIM1 et SIM2 / fentes MicroSD) Couleur Noir"
CrossCall Trekker M1 8 Go Double SIM Noir,29 €,N/A,"Ecran 4.5"" Réseau 4G Mémoire 8 Go / RAM 1 Go Android 5.1.1 (Lollipop) Snapdragon 410 Double SIM Couleur Noir"
Crosscall Spider X3G Dual Sim Noir,30 €,N/A,Double SIM
