Article,neuf_price,occasion_price,description
"Doogee S40 Pro (Double Sim - 5.45'', 64 Go, 4 Go RAM) Noir","99,99 €",N/A,Double SIM
"Doogee S110 (Double Sim - 6.58'', 256 Go, 12 Go RAM) Noir","252,52 €",N/A,Double SIM
"Doogee V20 Pro (Double Sim - 6.43'' - 256 Go, 12 Go RAM) Noir","429,99 €",N/A,Double SIM
"Doogee S99 (Double Sim - 6.3'', 128 Go, 8 Go RAM) Noir","229,99 €",N/A,Double SIM
DOOGEE S59 64 Go Dual SIM Orange,"129,13 €",N/A,Mémoire 64 Go / RAM 4 Go Double SIM
Doogee S41 Plus 128 Go Noir,160 €,N/A,
Doogee X97 4/16 Go Dual-SIM Vert,100 €,N/A,Mémoire 16 Go / RAM 4 Go Double SIM
DOOGEE N50S (2024) 9 Go RAM + 128 Go Android 13 Dual SIM Bleu,105 €,N/A,Android Double SIM
"DOOGEE S110 Incassable 22GB+256GB 6,58"" FHD+ 10800mAh, Android 13 Smartphone OTG/GPS/NFC - Or","259,96 €",N/A,Mémoire 256 Go / RAM 12 Go Android
"Doogee X95 (Double Sim - 6.1'', 16 Go, 3 Go RAM) Noir","89,99 €",N/A,Double SIM
"Doogee X95 (Double Sim - 6.1'', 16 Go, 3 Go RAM) Noir","89,99 €",N/A,Double SIM
"Doogee X95 (Double Sim - 6.1'', 16 Go, 3 Go RAM) Noir","89,99 €",N/A,Double SIM
Doogee S97 Pro 128 Go Rouge,120 €,N/A,
"DOOGEE S100 Pro Smartphone Robuste 12Go + 256Go 22000mAh Batterie 6.58"" FHD+ 64MP Caméra NFC Double Sim 4G GPS - Argent",260 €,N/A,Réseau 4G Double SIM
"Doogee S98 (Double Sim - 6.3'', 256 Go, 8 Go RAM) Rouge","269,99 €",N/A,Double SIM
"Doogee X95 (Double Sim - 6.1'', 16 Go, 3 Go RAM) Noir","89,99 €",N/A,Double SIM
"Doogee X95 (Double Sim - 6.1'', 16 Go, 3 Go RAM) Noir","89,99 €",N/A,Double SIM
"Doogee X95 (Double Sim - 6.1'', 16 Go, 3 Go RAM) Noir","89,99 €",N/A,Double SIM
"Doogee X95 (Double Sim - 6.1'', 16 Go, 3 Go RAM) Noir","89,99 €",N/A,Double SIM
"Doogee X95 (Double Sim - 6.1'', 16 Go, 3 Go RAM) Noir","89,99 €",N/A,Double SIM
"Doogee S98 (Double Sim - 6.3'', 256 Go, 8 Go RAM) Rouge","269,99 €",N/A,Double SIM
