Article,neuf_price,occasion_price,description
EMPORIA ECO Rouge,29 €,N/A,Single-SIM (SIM unique)
"EMPORIA Smart 5 Mini, 32GB, noir","232,84 €",N/A,
emporia smart 6 6gb 128gb 6.5 dual sim,"296,39 €",N/A,Double SIM
emporiaPRIME LTE 128 Mo Noir,"113,25 €",N/A,"Ecran 2.31"" Réseau 4G Single-SIM (SIM unique)"
emporiaPURE LTE 128 Mo Noir,"99,71 €",N/A,"Ecran 2.31"" Single-SIM (SIM unique)"
Emporia FN313,27 €,N/A,
emporiaJOY-LTE 128 Mo Noir,"99,98 €",N/A,"Ecran 2.8"" Réseau 4G Single-SIM (SIM unique) Couleur Noir"
emporiaSIMPLICITYglam 128 Mo Blanc,"69,99 €","59,99 €","Ecran 2.8"" Réseau 4G Single-SIM (SIM unique) Couleur Blanc"
emporiaSIMPLICITY V27 128 Mo Noir,"109,98 €",N/A,"Ecran 2"" Réseau 4G Mémoire 128 Go / RAM 64 Go Single-SIM (SIM unique)"
Téléphone portable EMPORIA Simplicity Glam Black 2G,"65,11 €",N/A,
emporiaJOY 128 Mo Noir,"79,99 €",N/A,"Ecran 2.8"" Single-SIM (SIM unique)"
Mobile Vintage Siemens C10,20 €,N/A,Single-SIM (SIM unique)
Téléphone portable EMPORIA E30,"43,97 €",N/A,
Emporia MD212 32 Mo Noir,"29,54 €",N/A,"Ecran 1.77"" Double SIM"
emporiaSIMPLICITY V27 64 Mo Noir,"67,99 €",N/A,"Ecran 2"" Single-SIM (SIM unique) Couleur Noir"
EmporiaACTIVEglam 4 Go Gris,"104,21 €",N/A,"Ecran 2.2"" Réseau 4G Mémoire 4 Go / RAM 512 Mo Android 8.1 Oreo (édition Go) Single-SIM (SIM unique)"
emporiaSIMPLICITYglam 64 Mo Blanc,"67,99 €",N/A,"Ecran 2.8"" Single-SIM (SIM unique) Couleur Blanc"
emporiaSMART.5 32 Go Noir,"288,35 €",N/A,"Ecran 5.5"" Réseau 4G Mémoire 32 Go / RAM 3 Go Android 10 Single-SIM (SIM unique) Couleur Noir"
Emporia Smart 2 16 Go Noir,"89,99 €",N/A,
emporiaONE Argent,"60,23 €",N/A,"Ecran 2.4"" Single-SIM (SIM unique) Couleur Argent"
emporiaONE (argent-grau) débloqué logiciel original,"67,99 €",N/A,Single-SIM (SIM unique)
emporiaCOMFORT V66 Gris,20 €,N/A,"Ecran 2.4"" Single-SIM (SIM unique) Couleur Gris"
emporiaEUPHORIA Noir,"83,03 €",N/A,"Ecran 2.4"" Single-SIM (SIM unique) Couleur Noir"
Emporia - PURE - 151432,"34,99 €",N/A,"Ecran 3.7"" Single-SIM (SIM unique)"
Emporia Active Lte,"89,97 €",N/A,
Joy 4g Lte Red,"102,91 €",N/A,Réseau 4G
