Article,neuf_price,occasion_price,description
"Energizer E282sc 7,11 Cm (2.8"") 129 G Noir Téléphone Numérique","61,97 €",N/A,
energizer telephone intelligent ultimate u505s 1gb 16gb 5 dual sim,"54,89 €",N/A,Double SIM
energizer telephone mobile e282scd 2.8,"82,46 €",N/A,
energizer telephone intelligent ultimate u608s 2gb 32gb 6.1 dual sim,"86,15 €",N/A,Double SIM
energizer telephone mobile e4 2g 1.77,"29,64 €",N/A,
energizer telephone mobile e24 2.4,"25,62 €",N/A,
energizer telephone mobile e13 1.77,"30,81 €",N/A,
Coffret Bouygues - Energizer E2,"17,50 €",N/A,Single-SIM (SIM unique)
energizer telephone mobile e282scd 2.8,"39,95 €",N/A,
Energizer E3 Noir,25 €,N/A,
Téléphone Portable Barre U505s Noir Energizer,"49,95 €",N/A,
"Smartphone Energizer Powermax P550S Débloqué 4G (Ecran : 5,5 pouces - 16 Go - Double SIM - Android 7.0) - Blue","121,55 €",N/A,"Ecran 5.5"" Réseau 4G Android Double SIM"
