Article,neuf_price,occasion_price,description
Google Pixel 8 Pro 128 Go Obsidien,N/A,N/A,N/A
Google Pixel 7 256 Go Vert citron,N/A,N/A,N/A
Google Pixel 7a Noir charbon 128 Go,N/A,N/A,N/A
Google Pixel 7 Pro 128 Go Noir Obsidien,N/A,N/A,N/A
Google Pixel 8 128 Go Obsidien,"509,98 €",520 €,"Ecran 6.2"" Réseau 5G Mémoire 128 Go / RAM 8 Go Android 14 Tensor G3 Double SIM Couleur Obsidien"
Google Pixel 8 Pro 128 Go Obsidien,"678,99 €","745,74 €","Ecran 6.7"" Réseau 5G Mémoire 128 Go / RAM 12 Go Android 14 Tensor G3 Double SIM Couleur Obsidien"
Google Pixel 7 128 Go Noir Obsidien,"293,58 €","269,90 €","Ecran 6.3"" Réseau 5G Mémoire 128 Go / RAM 8 Go Android 13 Tensor G2 Double SIM Couleur Obsidien"
Google Pixel 7 Pro 128 Go Noir Obsidien,"384,76 €",404 €,"Ecran 6.7"" Réseau 5G Mémoire 128 Go / RAM 12 Go Android 13 Tensor G2 Double SIM Couleur Obsidien"
Google Pixel 4A 5G Dual SIM 128 Go Noir,N/A,N/A,N/A
Google Pixel 8 128 Go Noisette,N/A,N/A,N/A
Google Pixel 7 Pro 128 Go Blanc Neige,N/A,N/A,N/A
Google Pixel 7a Noir charbon 128 Go,"289,96 €",275 €,"Ecran 6.1"" Réseau 5G Mémoire 128 Go / RAM 8 Go Android 13 Tensor G2 Double SIM Couleur Charbon"
Google Pixel 6 Pro Noir 128 Go,"197,76 €","278,67 €","Ecran 6.7"" Réseau 5G Mémoire 128 Go / RAM 12 Go Android 12 Tensor Double SIM Couleur Noir de charbon"
Google Pixel 6a 128 Go Vert gris,"209,41 €",210 €,"Ecran 6.134"" Réseau 5G Mémoire 128 Go / RAM 6 Go Android 12 Tensor Double SIM Couleur Vert gris"
Google Pixel 8a 128 Go Obsidien,420 €,410 €,"Ecran 6.1"" Réseau 5G Mémoire 128 Go / RAM 8 Go Android 14 Tensor G3 Double SIM Couleur Obsidien"
Google Pixel 5 128 Go Juste noir,"222,02 €",N/A,"Ecran 6"" Réseau 5G Mémoire 128 Go / RAM 8 Go Android 11 Snapdragon 765G Single-SIM (SIM unique) Couleur Juste noir"
Google Pixel 8 128 Go Rose,"522,78 €",N/A,"Ecran 6.2"" Réseau 5G Mémoire 128 Go / RAM 8 Go Android 14 Tensor G3 Double SIM Couleur Rose"
Google Pixel 6 Ecume de mer 128 Go,"225,89 €",262 €,"Ecran 6.4"" Réseau 5G Mémoire 128 Go / RAM 8 Go Android 12 Tensor Double SIM Couleur Une sorte d'écume de mer"
Google Pixel 7 128 Go Blanc Neige,"293,44 €","339,99 €","Ecran 6.3"" Réseau 5G Mémoire 128 Go / RAM 8 Go Android 13 Tensor G2 Double SIM Couleur Neige"
Google Pixel 6 Pro Noir 128 Go,N/A,N/A,N/A
Google Pixel 4 128 Go Simple SIM Noir,N/A,N/A,N/A
Google Pixel 7 Pro 128 Go Noisette,"387,13 €",369 €,"Ecran 6.7"" Réseau 5G Mémoire 128 Go / RAM 12 Go Android 13 Tensor G2 Double SIM Couleur Noisette"
Google Pixel 7 Pro 256 Go Noir Obsidien,"446,97 €","449,90 €","Ecran 6.7"" Réseau 5G Mémoire 256 Go / RAM 12 Go Android 13 Tensor G2 Double SIM Couleur Obsidien"
