Article,neuf_price,occasion_price,description
HTC U12 + Plus LTE 6 Go Ram 128 Go Rom Dual Sim Débloqué IP68 Noir,N/A,N/A,N/A
HTC U12+ 6Go/ 128Go 4G Dual sim Débloqué - Translucent Bleu,N/A,N/A,N/A
HTC U11 128 Go Double SIM Bleu saphir,N/A,N/A,N/A
HTC U11 128 Go Double SIM Noir Brillant,N/A,N/A,N/A
HTC U23 Pro 256 Go Café noir,"259,88 €",N/A,"Ecran 6.7"" Réseau 5G Mémoire 256 Go / RAM 12 Go Android 13 Snapdragon 7 Gen 1 Double SIM Couleur Café noir"
HTC U23 Pro 256 Go Blanc neige,"324,76 €",N/A,"Ecran 6.7"" Réseau 5G Mémoire 256 Go / RAM 12 Go Android 13 Snapdragon 7 Gen 1 Double SIM Couleur Blanc neige"
HTC U12+ 6Go/ 128Go 4G Dual sim Débloqué - Translucent Bleu,"159,99 €",N/A,"Ecran 6"" Réseau 4G Android Double SIM"
HTC Desire 610,85 €,N/A,Android Single-SIM (SIM unique)
HTC U11+ 128 Go Noir,248 €,N/A,"Ecran 6"" Réseau 4G Mémoire 128 Go / RAM 6 Go Android 8.0 Oreo Snapdragon 835 Double SIM (SIM1 et SIM2 / fentes MicroSD) Couleur Céramique noire"
HTC U11 128 Go Double SIM Noir Brillant,"199,98 €",N/A,"Ecran 5.5"" Android 7.1 Nougat Double SIM"
HTC U11 64 Go Bleu saphir,"165,78 €",N/A,"Ecran 5.5"" Réseau 4G Mémoire 64 Go / RAM 4 Go Android 7.1 Nougat Snapdragon 835 Single-SIM (SIM unique) Couleur Bleu saphir"
HTC Desire 530 16 Go Anthracite remix - or,30 €,N/A,"Ecran 5"" Réseau 4G Android 6.0 (Marshmallow) MSM8909 Single-SIM (SIM unique) Couleur Anthracite remix - or"
HTC Wildfire S Gris foncé,42 €,N/A,"Ecran 3.2"" Réseau 3G Google Android Single-SIM (SIM unique) Couleur Gris foncé"
HTC Wildfire Gris,N/A,N/A,Single-SIM (SIM unique)
HTC One Mini 2 16 Go Gris,33 €,N/A,Mémoire 16 Go / RAM 16 Go
HTC Desire 22 Pro 5G 128 Or,199 €,N/A,Réseau 5G Mémoire 128 Go / RAM 8 Go
HTC Desire 22 Pro 128 Go Noir,"190,11 €",N/A,"Ecran 6.6"" Réseau 5G Mémoire 128 Go / RAM 8 Go Android 12 Snapdragon 695 5G Double SIM Couleur Noir"
HTC Niki100 Marron,24 €,N/A,Single-SIM (SIM unique)
HTC P3470 (Pharos 100) Noir,N/A,N/A,
HTC KAIS130 Marron,N/A,N/A,Single-SIM (SIM unique)
HTC U11 64 Go Blanc,"149,98 €",N/A,"Ecran 5.5"" Mémoire 64 Go / RAM 4 Go"
HTC Mda WIZA200 Windows phone Argent,16 €,N/A,Single-SIM (SIM unique)
HTC Desire 530 16 Go Gris graphite,N/A,N/A,"Ecran 5"" Réseau 4G Android 6.0 (Marshmallow) Snapdragon 210 Couleur Gris graphite"
HTC U12+ Single SIM Ceramic noir 64Go / GB débloqué logiciel original,"249,98 €",N/A,"Ecran 6"" Android Single-SIM (SIM unique)"
HTC Desire 610 8 Go Bleu,67 €,N/A,"Ecran 4.7"" Réseau 4G Mémoire 8 Go / RAM 1 Go Google Android Snapdragon 400 Couleur Bleu"
HTC U12 + Plus LTE 6 Go Ram 128 Go Rom Dual Sim Débloqué IP68 Noir,"258,99 €",N/A,"Ecran 6"" Android Double SIM"
HTC One m7 32 Go Bleu,118 €,N/A,Android Single-SIM (SIM unique)
HTC U11 eyes 4/64 Go Dual-SIM Noir,"180,80 €",N/A,"Ecran 5.5"" Android Double SIM (SIM1 et SIM2 / fentes MicroSD)"
HTC One (M9) 32 Go Gris métallisé,83 €,N/A,"Ecran 5"" Réseau 4G Mémoire 32 Go / RAM 3 Go Android 5.0.2 (Lollipop) Snapdragon 810 Single-SIM (SIM unique) Couleur Gris métallisé"
HTC One M7 32 Go Or,108 €,N/A,Android Single-SIM (SIM unique)
HTC U11 LIFE 32 Go Noir brillant,"115,90 €",N/A,"Ecran 5.2"" Réseau 4G Mémoire 32 Go / RAM 3 Go Android 8.0 Oreo Snapdragon 630 Single-SIM (SIM unique) Couleur Noir brillant"
HTC 10 evo 32 Go Argent,158 €,N/A,"Ecran 5.5"" Réseau 4G Mémoire 32 Go / RAM 3 Go Android 7.0 Nougat Snapdragon 810 Single-SIM (SIM unique) Couleur Argent"
HTC U11 LIFE 32 Go Bleu saphir,178 €,N/A,"Ecran 5.2"" Réseau 4G Mémoire 32 Go / RAM 3 Go Android 8.0 Oreo Snapdragon 630 Single-SIM (SIM unique) Couleur Bleu saphir"
HTC One M7 32 Go Argent,78 €,N/A,Android Single-SIM (SIM unique)
HTC U11 128 Go Double SIM Bleu saphir,"199,98 €",N/A,"Ecran 5.5"" Android 7.1 Nougat Double SIM"
HTC One M8 32 Go Rouge,138 €,N/A,"Ecran 5"" Android Single-SIM (SIM unique)"
HTC ONE M9 NFC 32Go ARGENTE,99 €,N/A,Android Single-SIM (SIM unique)
HTC ONE M9 NFC 32Go GRIS,99 €,N/A,"Ecran 6"" Android Single-SIM (SIM unique)"
HTC ONE M7 32 Go - Noir,78 €,N/A,Android Single-SIM (SIM unique)
HTC U11 64 Go Argent étonnant,"300,48 €",N/A,"Ecran 5.5"" Réseau 4G Mémoire 64 Go / RAM 4 Go Android 7.1 Nougat Snapdragon 835 Single-SIM (SIM unique) Couleur Argent étonnant"
