Article,neuf_price,occasion_price,description
Honor 50 128 Go Code d'honneur,N/A,N/A,N/A
Honor 10 Lite 64 Go Bleu saphir,N/A,N/A,N/A
Honor 9 Lite 32 Go Noir minuit,N/A,N/A,N/A
Honor 50 128 Go Noir minuit,N/A,N/A,N/A
Honor Magic6 Pro 512 Go Vert Epi,"906,54 €",900 €,"Ecran 6.8"" Réseau 5G Mémoire 512 Go / RAM 12 Go MagicOS 8.0 (based on Android 14) Snapdragon 8 Gen 3 Double SIM Couleur Vert épi"
Honor Magic V2 5G 512 Go Noir,"1 088,88 €",1 049 €,"Ecran 7.92"" Réseau 5G Mémoire 512 Go / RAM 16 Go Android Double SIM"
Honor 90 lite 8+256 Go DS 5G titane argent OEM,"238,99 €",N/A,Réseau 5G Android
Honor Magic5 Lite 5G 256 Go Vert émeraude,"214,90 €",230 €,"Ecran 6.67"" Réseau 5G Mémoire 256 Go / RAM 8 Go Android 12 Snapdragon 695 5G Double SIM Couleur Vert émeraude"
Honor 200 Lite 5G 256 Go Bleu Cyan Lake,N/A,N/A,N/A
Honor X6 Dual-SIM 64 Go Noir Minuit,N/A,N/A,N/A
Honor 90 512 Go Noir minuit,N/A,N/A,N/A
Honor 70 Lite 128 Go Noir minuit,"157,68 €","109,14 €","Ecran 6.5"" Réseau 5G Mémoire 128 Go / RAM 4 Go Android 12 Snapdragon 480 Plus Double SIM Couleur Noir minuit"
Honor 200 Lite 5G 256 Go Bleu Cyan Lake,"268,99 €",N/A,"Ecran 6.7"" Réseau 5G Mémoire 256 Go / RAM 8 Go Android 14 Double SIM"
Honor 90 12 512 Vert Émeraude 5G UE,379 €,N/A,Réseau 5G Android
Honor X6 Dual-SIM 64 Go Noir Minuit,"99,99 €",N/A,"Ecran 6.5"" Réseau 4G Mémoire 64 Go / RAM 4 Go Android 12 Helio G25 Double SIM Couleur Noir minuit"
Honor 90 Lite Dual 5G 256 Go 8 Go de RAM (noir minuit) noir,199 €,140 €,Réseau 5G Android
Honor Magic6 Lite 256 Go Vert émeraude,279 €,"249,99 €","Ecran 6.78"" Réseau 5G Mémoire 256 Go / RAM 8 Go MagicOS 7.2 (based on Android 13) Snapdragon 6 Gen 1 Double SIM Couleur Vert émeraude"
Honor Magic6 Pro 512 Go Noir minuit,"906,54 €",790 €,"Ecran 6.8"" Réseau 5G Mémoire 512 Go / RAM 12 Go Android Snapdragon 8 Gen 3 Double SIM Couleur Noir minuit"
Honor 90 512 Go Noir minuit,"348,39 €","330,02 €","Ecran 6.7"" Réseau 5G Mémoire 512 Go / RAM 12 Go Android 13 Snapdragon 7 Gen 1 Accelerated Edition Double SIM Couleur Noir minuit"
Honor Magic6 Lite 256 Go Noir minuit,N/A,N/A,N/A
Honor 90 Lite 256 Go Noir minuit,"173,11 €","158,90 €","Ecran 6.7"" Réseau 5G Mémoire 256 Go / RAM 8 Go Android 13 Dimensity 6020 Double SIM Couleur Noir minuit"
Honor 90 512 Go Vert émeraude,"364,50 €","359,99 €","Ecran 6.7"" Réseau 5G Mémoire 512 Go / RAM 12 Go Android 13 Snapdragon 7 Gen 1 Accelerated Edition Double SIM Couleur Vert émeraude"
Honor 10 128 Go Bleu fantôme,199 €,N/A,"Ecran 5.84"" Réseau 4G Mémoire 128 Go / RAM 4 Go Android 8.1 Oreo Kirin 970 Double SIM Couleur Bleu fantôme"
Honor Magic 5 Lite 5G Dual-SIM 128 Go Argent,180 €,N/A,Réseau 5G Mémoire 128 Go / RAM 6 Go Android Double SIM
Honor X8 128 Go Noir minuit,139 €,N/A,"Ecran 6.7"" Réseau 4G Mémoire 128 Go / RAM 6 Go Android 11 Snapdragon 680 Double SIM Couleur Noir minuit"
