Article,neuf_price,occasion_price,description
"Konrow City 4 (Double SIM - Écran 4'', 8Go, 1Go RAM) Noir","65,14 €",N/A,Double SIM
Konrow MOBY (1.77'' - Bluetooth) Noir,"26,52 €",N/A,
Konrow Senior 280 Next 4G (2.8'' - Double Sim - Avec Station de charge) Noir,"49,90 €",N/A,Réseau 4G Double SIM
Konrow MOBY 4G (1.77'' - Bluetooth) Noir,"40,34 €",N/A,Réseau 4G
Konrow Senior 280 Next 4G (2.8'' - Double Sim - Avec Station de charge) Rouge,"49,90 €",N/A,Réseau 4G Double SIM
Konrow Flipo Dual-SIM Rouge,25 €,N/A,Double SIM
"Konrow Sky55 smartphone 4G, 5.45"", 8 Go, Android 10 - Or",49 €,N/A,Réseau 4G Mémoire 8 Go / RAM 8 Go Android
"Konrow Star 55 Plus (Double SIM - 4G - Écran 5.5'' - 32 Go, 2 Go RAM) Noir","102,06 €",N/A,Réseau 4G Double SIM
"Konrow Star 55 (Double SIM - 4G - Écran 5.5'' - 16 Go, 2 Go RAM) Noir","89,90 €",N/A,Réseau 4G Double SIM
"Konrow Soft 5 Max (4G - Android 12 - Écran 5'' - 16 Go, 2 Go RAM) Or","84,90 €",N/A,Réseau 4G Android
"Konrow Star 55 Max (Double SIM - 4G - Écran 5.5'' - 32 Go, 3 Go RAM) Bleu","99,90 €",N/A,Réseau 4G Double SIM
Konrow Senior 280 (Écran 2.8'' - Double Sim - Avec Station de charge) Noir,"44,90 €",N/A,Double SIM
"Konrow Soft 5 Max (4G - Android 12 - Écran 5'' - 16 Go, 2 Go RAM) Bleu","84,90 €",N/A,Réseau 4G Android
"Konrow Soft 5 Max (4G - Android 12 - Écran 5'' - 16 Go, 2 Go RAM) Noir","84,90 €",N/A,Réseau 4G Android
"Konrow Star 55 Max (Double SIM - 4G - Écran 5.5'' - 32 Go, 3 Go RAM) Noir","106,83 €",N/A,Réseau 4G Double SIM
"Konrow Star 55 (Double SIM - 4G - Écran 5.5'' - 16 Go, 2 Go RAM) Bleu","95,69 €",N/A,Réseau 4G Double SIM
"Konrow Star 55 Max (Double SIM - 4G - Écran 5.5'' - 32 Go, 3 Go RAM) Or","99,90 €",N/A,Réseau 4G Double SIM
"Konrow Star 55 Plus (Double SIM - 4G - Écran 5.5'' - 32 Go, 2 Go RAM) Bleu","94,90 €",N/A,Réseau 4G Double SIM
"Konrow Star 55 (Double SIM - 4G - Écran 5.5'' - 16 Go, 2 Go RAM) Or","95,69 €",N/A,Réseau 4G Double SIM
"Konrow Star 55 Plus (Double SIM - 4G - Écran 5.5'' - 32 Go, 2 Go RAM) Or","94,90 €",N/A,Réseau 4G Double SIM
Konrow Senior 280 (Écran 2.8'' - Double Sim - Avec Station de charge) Rouge,"44,90 €",N/A,Double SIM
KONROW STAR 5 16 Go Noir,50 €,N/A,
"Konrow Sky 63 (Double Sim - 4G - écran 6.26'' - 32 Go, 3 Go RAM) Noir",55 €,N/A,Réseau 4G Double SIM
"Konrow Sky 63 (Double Sim - 4G - écran 6.26'' - 32 Go, 3 Go RAM) Bleu","104,90 €",N/A,Réseau 4G Double SIM
"Konrow Soft 5P (Double Sim - 4G - Écran 5'' - 16 Go, 1 Go RAM) Or","104,18 €",N/A,"Ecran 5"" Réseau 4G Double SIM"
"Konrow Soft 5P (Double Sim - 4G - Écran 5'' - 16 Go, 1 Go RAM) Noir","99,82 €",N/A,"Ecran 5"" Réseau 4G Double SIM"
"Konrow Soft 5P (Double Sim - 4G - Écran 5'' - 16 Go, 1 Go RAM) Bleu","79,90 €",N/A,"Ecran 5"" Réseau 4G Double SIM"
"Konrow Sweet 5 (Double Sim - 4G - Écran 5'' - 8 Go, 1 Go RAM) Bleu",62 €,N/A,Réseau 4G Double SIM
SMARTPHONE KONROW SWEET 5 8Go NOIR,61 €,N/A,
"Konrow Sweet 5 (Double Sim - 4G - Écran 5'' - 8 Go, 1 Go RAM) Or","61,99 €",N/A,Réseau 4G Double SIM
"Konrow Soft 5 (Double Sim - 4G - Écran 5'' - 8 Go, 1 Go RAM) Noir","97,02 €",N/A,Réseau 4G Double SIM
Konrow Stone Plus - Téléphone Antichoc Certifié IP68 - 2.4'' - Double Sim - Noir,"49,75 €",N/A,Double SIM
"Konrow Sky Plus - Android 8.1 - 4G - Écran 6.2'' - 32Go, 3Go RAM - Or","136,56 €",N/A,Réseau 4G Android
"Konrow Sky Plus - Android 8.1 - 4G - Écran 6.2'' - 32Go, 3Go RAM - Noir",124 €,N/A,Réseau 4G Android
"Konrow Sky Lite - Android 8.1 - 4G - Écran 5.45'' - Double Sim - 16Go, 1Go RAM - Noir","104,54 €",N/A,Réseau 4G Android Double SIM
"Konrow Sky Lite - Android 8.1 - 4G - Écran 5.45'' - Double Sim - 16Go, 1Go RAM - Or","104,54 €",N/A,Réseau 4G Android Double SIM
"Konrow Sky Lite - Android 8.1 - 4G - Écran 5.45'' - Double Sim - 16Go, 1Go RAM - Bleu","104,54 €",N/A,Réseau 4G Android Double SIM
"Konrow Must - Android 8.0 - 4G - Écran 5.85'' - Double Sim - 64Go, 4Go RAM - Noir","136,56 €",N/A,Réseau 4G Android Double SIM
"Konrow Must - Smartphone Android - 4G - Écran 5.85'' - Double Sim - 64Go, 4Go RAM - Or","136,56 €",N/A,Réseau 4G Android Double SIM
"Konrow Sky - Smartphone Android - 4G - Écran 5.5'' - Double Sim - 16Go, 2Go RAM - Noir","95,64 €",N/A,Réseau 4G Android Double SIM
"Konrow Easy Feel - Android 7.0 - 4G - Ecran 5'' - Double Sim - 16Go, 1Go RAM - Noir","89,90 €",N/A,Réseau 4G Android Double SIM
"Konrow Easy Feel - Android 7.0 - 4G - Ecran 5'' - Double Sim - 16Go, 1Go RAM - Or","89,90 €",N/A,Réseau 4G Android Double SIM
