Article,neuf_price,occasion_price,description
"Téléphone mobile - moto g13 - Rose Gold (Dual Sim) MediaTek Helio G85 Processeur (2,00 GHz )/Android 13/128 Go MBG","199,01 €",N/A,Android Double SIM
"Téléphone mobile - moto e22i - Winter White (Dual Sim) MediaTek Helio G37 Processeur (2,30 GHz )/Android 12 Go/32 Go MBG",149 €,N/A,Android Double SIM
"Téléphone mobile - moto g32 - Satin Silver (Dual Sim) Qualcomm Snapdragon 680 jusqu?à 2,40/Android 12/128 Go MBG","259,01 €",N/A,Android Double SIM
"Téléphone mobile - moto g22 - Iceberg Blue (Dual Sim) MediaTek Helio G37 Processeur (2,30 GHz )/Android 12/64 Go MBG","94,73 €",N/A,Android Double SIM
"Téléphone mobile - moto g32 - Mineral Grey (Dual Sim) Qualcomm Snapdragon 680 jusqu?à 2,40/Android 12/128 Go MBG","199,04 €",N/A,Android Double SIM
"Téléphone mobile - moto e32 - Misty Silver (Dual Sim) Unisoc T606 Processeur (1,60 GHz )/Android 11/64 Go MBG","169,01 €",N/A,Android Double SIM
"Téléphone mobile - moto g22 - Pearl White (Dual Sim) MediaTek Helio G37 Processeur (2,30 GHz )/Android 12/64 Go MBG",189 €,N/A,Android Double SIM
"Téléphone mobile - moto e22i - Graphite Grey (Dual Sim) MediaTek Helio G37 Processeur (2,30 GHz )/Android 12 Go/32 Go MBG",149 €,N/A,Android Double SIM
Téléphone mobile - moto g31 - Baby Blue (Dual Sim) MediaTek Helio G85/Android 11/64 Go MBG,220 €,N/A,Android Double SIM
Lenovo A376 4 Go Blanc,39 €,N/A,
"Téléphone mobile - moto e13 - Aurora Green (Dual Sim) Unisoc T606 Processeur (1,60 GHz )/Android 13 Go/64 Go MBG","94,94 €",N/A,Android Double SIM
"Téléphone mobile - moto g42 - Metallic Rosé (Dual Sim) Qualcomm Snapdragon 680 jusqu?à 2,40/Android 12/128 Go MBG",249 €,N/A,Android Double SIM
"Téléphone mobile - moto g62 5G - Frosted Blue (Dual Sim) Processeur Qualcomm Snapdragon 480 (2,20 GHz )/Android 12/128 Go MBG",279 €,N/A,Réseau 5G Android Double SIM
"Téléphone mobile - moto g52 - Porcelain White (Dual Sim) Qualcomm Snapdragon 680 Processeur (2,40 GHz )/Android 12/128 Go MBG","259,01 €",N/A,Android Double SIM
Téléphone mobile - motorola edge 30 fusion - Viva Magenta (Dual Sim) Processeur Qualcomm Snapdragon 888+ (2.95 GHz )/Android 12/128 Go MBG,699 €,N/A,Android Double SIM
"Téléphone mobile - motorola edge 40 - Viva Magenta MediaTek Dimensity 8020 Processeur (3,36 GHz )/Android 13/256 Go","549,20 €",N/A,Android Single-SIM (SIM unique)
"Téléphone mobile - moto g53 5G - Pale Pink (Dual Sim) Processeur Qualcomm Snapdragon 480 (2,20 GHz )/Android 13/128 Go MBG",149 €,N/A,Réseau 5G Android Double SIM
"Téléphone mobile - moto edge 30 neo - Aqua Foam (Dual Sim) Qualcomm Snapdragon 695 Processeur (2,20 GHz )/Android 12/128 Go MBG",399 €,N/A,Android Double SIM
"Téléphone mobile - moto g53 5G -Arctic Silver (Dual Sim) Processeur Qualcomm Snapdragon 480 (2,20 GHz )/Android 13/128 Go MBG",149 €,N/A,Réseau 5G Android Double SIM
Lenovo Legion Phone Duel 256 Go Dual-SIM Rouge Vengeance,420 €,N/A,Mémoire 256 Go / RAM 12 Go Double SIM
Lenovo Vibe K5 16 Go Dual SIM Or,80 €,N/A,Double SIM
Lenovo E1 (D450) Robot Vacuum Cleaner Noir,"349,09 €",N/A,Single-SIM (SIM unique)
Lenovo Motorola one (blanc) débloqué logiciel original,"300,82 €",N/A,Single-SIM (SIM unique)
Lenovo Motorola Moto G6 (argent) débloqué logiciel original,"72,06 €",N/A,Single-SIM (SIM unique)
Lenovo A Plus 8 Go Noir mat,"45,05 €",N/A,"Ecran 4.5"" Réseau 4G Mémoire 8 Go / RAM 1 Go Android 5.1 (Lollipop) MT6580 Couleur Noir mat"
Lenovo K6 16 Go Double SIM Gris foncé,70 €,N/A,"Ecran 5"" Réseau 4G Mémoire 16 Go / RAM 2 Go Android 6.0.1 (Marshmallow) Snapdragon 430 Double SIM Couleur Gris foncé"
"Téléphone mobile - moto g13 - Rose Gold (Dual Sim) MediaTek Helio G85 Processeur (2,00 GHz","199,01 €",N/A,Android Double SIM
