Article,neuf_price,occasion_price,description
Logicom Five Pro 16 Go Noir,N/A,N/A,N/A
Téléphone portable LOGICOM Fleep 450 Noir 4G,"29,99 €",N/A,"Ecran 1.7"" Réseau 4G Mémoire 128 Go / RAM 48 Mo Double SIM"
Logicom Onix 64 Go Noir,"79,90 €",N/A,"Ecran 6.5"" Réseau 4G Mémoire 64 Go / RAM 2 Go Android 13 (édition Go) Double SIM Couleur Noir"
Logicom Le Posh 186 32 Mo Noir,4 €,N/A,"Ecran 1.77"" KaiOS Double SIM Couleur Noir"
Smartphone LOGICOM Five Pro Bleu 32Go 4G,"79,99 €",N/A,"Ecran 5.4"" Réseau 4G Mémoire 32 Go / RAM 2 Go Android 12 Double SIM"
"Téléphone portable basique Logicom Xtrem 40 2,4"""" Double nano SIM 128 Mo Noir","59,99 €",N/A,
Smartphone LOGICOM Five Pro Noir 32Go 4G,"79,90 €",N/A,"Ecran 5.4"" Réseau 4G Mémoire 32 Go / RAM 2 Go Android 12 Double SIM"
Logicom Solar Pro 64 Go Noir,80 €,N/A,
Logicom Five 16 Go Noir,N/A,N/A,Mémoire 16 Go / RAM 2 Go
Smartphone LOGICOM LINK 16Go Vert,"59,90 €",N/A,Mémoire 16 Go / RAM 2 Go
"SMARTPHONE LOGICOM LUMA 6.82"" DOUBLE NANO SIM 128 GO NOIR","134,44 €",N/A,
Smartphone Logicom Five Pro 16Go Noir,"69,90 €",N/A,
Téléphone portable Logicom POSH XL 32Mo Noir,"49,99 €",N/A,Single-SIM (SIM unique)
Smartphone LOGICOM LINK 16Go Noir,"39,99 €",N/A,Mémoire 16 Go / RAM 2 Go
Logicom ID BOT 56 8 Go Dual-SIM Noir,N/A,N/A,Double SIM
Logicom Le Posh 186 32 Mo Bleu,20 €,N/A,"Ecran 1.77"" KaiOS Double SIM Couleur Bleu"
Logicom Five Pro 16 Go Bleu marine,"87,60 €",N/A,"Ecran 5.45"" Réseau 4G Mémoire 16 Go / RAM 2 Go Android 12 (édition Go) Double SIM Couleur Bleu marine"
Logicom Le Posh 186 32 Mo Gris,20 €,N/A,"Ecran 1.77"" KaiOS Double SIM Couleur Gris"
Logicom Five Pro 16 Go Noir,"77,25 €",N/A,"Ecran 5.45"" Réseau 4G Mémoire 16 Go / RAM 2 Go Android 12 (édition Go) Double SIM Couleur Noir"
Logicom Le Fleep XL 32 Mo Noir,"39,28 €",N/A,"Ecran 2.44"" Double SIM Couleur Noir"
Logicom Le Fizz 8 Go Dual-SIM Noir,45 €,N/A,Double SIM
Logicom Solar 64 Go Noir,"94,50 €",N/A,Mémoire 64 Go / RAM 4 Go
Logicom Le Fleep 190 32 Mo Noir,"56,09 €",N/A,"Ecran 1.77"" Double SIM Couleur Noir"
Logicom Le Posh 184 32 Mo Noir,15 €,N/A,"Ecran 1.77"" Double SIM Couleur Noir"
Logicom L-XTREM 30 32 Mo Noir,"57,47 €",N/A,"Ecran 2.8"" Double SIM Couleur Noir"
Logicom Flow 32 Go Noir,50 €,N/A,"Ecran 6.26"" Réseau 4G Mémoire 32 Go / RAM 2 Go Android 12 Double SIM Couleur Noir"
Logicom Flow 32 Go Bleu,"89,90 €",N/A,"Ecran 6.26"" Réseau 4G Mémoire 32 Go / RAM 2 Go Android 12 Double SIM Couleur Bleu"
Logicom Le Wave 8 Go Noir,"59,90 €",55 €,"Ecran 4"" Réseau 4G Mémoire 8 Go / RAM 1 Go Android 11 (Go edition) Double SIM Couleur Noir"
Logicom Le Swipe 16 Go Noir,"86,76 €",N/A,"Ecran 5"" Réseau 4G Mémoire 16 Go / RAM 2 Go Android 11 (Go edition) Double SIM Couleur Noir"
Logicom Le Fit FR 8 Go Noir,38 €,N/A,
Logicom L-XTREM 28 32 Mo Noir,"29,90 €",N/A,"Ecran 2.8"" Double SIM Couleur Noir"
Logicom Le Posh 178 32 Mo Double SIM Noir,29 €,N/A,Double SIM
Logicom L-197 32 Mo Double SIM Noir,139 €,N/A,"Ecran 1.77"" Double SIM Couleur Noir"
Logicom Power Bot 16 Go Double SIM Or,50 €,N/A,"Ecran 5"" Réseau 4G Mémoire 16 Go / RAM 1 Go Android 6.0 (Marshmallow) Cortex-A53 Double SIM Couleur Or"
Logicom L-EMENT 505 8 Go Double SIM Noir,N/A,N/A,"Ecran 5"" Réseau 3G Mémoire 8 Go / RAM 1 Go Android 6.0 (Marshmallow) Double SIM Couleur Noir"
Logicom L-EMENT 401 4 Go Double SIM Blanc,44 €,N/A,"Ecran 4"" Réseau 3G Mémoire 4 Go / RAM 512 Mo Android 4.4 (KitKat) Double SIM Couleur Blanc"
Logicom E500 4 Go Double SIM Noir,90 €,N/A,"Ecran 5"" Réseau 3G Mémoire 4 Go / RAM 512 Mo Android 4.2 (Jelly Bean) BCM21663 Double SIM Couleur Noir"
Logicom Five Pro 16 Go Noir,N/A,N/A,N/A
Téléphone portable LOGICOM Fleep 450 Noir 4G,"29,99 €",N/A,"Ecran 1.7"" Réseau 4G Mémoire 128 Go / RAM 48 Mo Double SIM"
Logicom Onix 64 Go Noir,"79,90 €",N/A,"Ecran 6.5"" Réseau 4G Mémoire 64 Go / RAM 2 Go Android 13 (édition Go) Double SIM Couleur Noir"
Logicom Le Posh 186 32 Mo Noir,4 €,N/A,"Ecran 1.77"" KaiOS Double SIM Couleur Noir"
Smartphone LOGICOM Five Pro Bleu 32Go 4G,"79,99 €",N/A,"Ecran 5.4"" Réseau 4G Mémoire 32 Go / RAM 2 Go Android 12 Double SIM"
"Téléphone portable basique Logicom Xtrem 40 2,4"""" Double nano SIM 128 Mo Noir","59,99 €",N/A,
Smartphone LOGICOM Five Pro Noir 32Go 4G,"79,90 €",N/A,"Ecran 5.4"" Réseau 4G Mémoire 32 Go / RAM 2 Go Android 12 Double SIM"
Logicom Solar Pro 64 Go Noir,80 €,N/A,
Logicom Five 16 Go Noir,N/A,N/A,Mémoire 16 Go / RAM 2 Go
Smartphone LOGICOM LINK 16Go Vert,"59,90 €",N/A,Mémoire 16 Go / RAM 2 Go
"SMARTPHONE LOGICOM LUMA 6.82"" DOUBLE NANO SIM 128 GO NOIR","134,44 €",N/A,
Smartphone Logicom Five Pro 16Go Noir,"69,90 €",N/A,
Téléphone portable Logicom POSH XL 32Mo Noir,"49,99 €",N/A,Single-SIM (SIM unique)
Smartphone LOGICOM LINK 16Go Noir,"39,99 €",N/A,Mémoire 16 Go / RAM 2 Go
Logicom ID BOT 56 8 Go Dual-SIM Noir,N/A,N/A,Double SIM
Logicom Le Posh 186 32 Mo Bleu,20 €,N/A,"Ecran 1.77"" KaiOS Double SIM Couleur Bleu"
Logicom Five Pro 16 Go Bleu marine,"87,60 €",N/A,"Ecran 5.45"" Réseau 4G Mémoire 16 Go / RAM 2 Go Android 12 (édition Go) Double SIM Couleur Bleu marine"
Logicom Le Posh 186 32 Mo Gris,20 €,N/A,"Ecran 1.77"" KaiOS Double SIM Couleur Gris"
Logicom Five Pro 16 Go Noir,"77,25 €",N/A,"Ecran 5.45"" Réseau 4G Mémoire 16 Go / RAM 2 Go Android 12 (édition Go) Double SIM Couleur Noir"
Logicom Le Fleep XL 32 Mo Noir,"39,28 €",N/A,"Ecran 2.44"" Double SIM Couleur Noir"
Logicom Le Fizz 8 Go Dual-SIM Noir,45 €,N/A,Double SIM
Logicom Solar 64 Go Noir,"94,50 €",N/A,Mémoire 64 Go / RAM 4 Go
Logicom Le Fleep 190 32 Mo Noir,"56,09 €",N/A,"Ecran 1.77"" Double SIM Couleur Noir"
Logicom Le Posh 184 32 Mo Noir,15 €,N/A,"Ecran 1.77"" Double SIM Couleur Noir"
Logicom L-XTREM 30 32 Mo Noir,"57,47 €",N/A,"Ecran 2.8"" Double SIM Couleur Noir"
Logicom Flow 32 Go Noir,50 €,N/A,"Ecran 6.26"" Réseau 4G Mémoire 32 Go / RAM 2 Go Android 12 Double SIM Couleur Noir"
Logicom Flow 32 Go Bleu,"89,90 €",N/A,"Ecran 6.26"" Réseau 4G Mémoire 32 Go / RAM 2 Go Android 12 Double SIM Couleur Bleu"
Logicom Le Wave 8 Go Noir,"59,90 €",55 €,"Ecran 4"" Réseau 4G Mémoire 8 Go / RAM 1 Go Android 11 (Go edition) Double SIM Couleur Noir"
Logicom Le Swipe 16 Go Noir,"86,76 €",N/A,"Ecran 5"" Réseau 4G Mémoire 16 Go / RAM 2 Go Android 11 (Go edition) Double SIM Couleur Noir"
Logicom Le Fit FR 8 Go Noir,38 €,N/A,
Logicom L-XTREM 28 32 Mo Noir,"29,90 €",N/A,"Ecran 2.8"" Double SIM Couleur Noir"
Logicom Le Posh 178 32 Mo Double SIM Noir,29 €,N/A,Double SIM
Logicom L-197 32 Mo Double SIM Noir,139 €,N/A,"Ecran 1.77"" Double SIM Couleur Noir"
Logicom Power Bot 16 Go Double SIM Or,50 €,N/A,"Ecran 5"" Réseau 4G Mémoire 16 Go / RAM 1 Go Android 6.0 (Marshmallow) Cortex-A53 Double SIM Couleur Or"
Logicom L-EMENT 505 8 Go Double SIM Noir,N/A,N/A,"Ecran 5"" Réseau 3G Mémoire 8 Go / RAM 1 Go Android 6.0 (Marshmallow) Double SIM Couleur Noir"
Logicom L-EMENT 401 4 Go Double SIM Blanc,44 €,N/A,"Ecran 4"" Réseau 3G Mémoire 4 Go / RAM 512 Mo Android 4.4 (KitKat) Double SIM Couleur Blanc"
Logicom E500 4 Go Double SIM Noir,90 €,N/A,"Ecran 5"" Réseau 3G Mémoire 4 Go / RAM 512 Mo Android 4.2 (Jelly Bean) BCM21663 Double SIM Couleur Noir"
