Article,neuf_price,occasion_price,description
Maxcom MM35D 3G Noir,"32,46 €",N/A,"Ecran 3.7"" Réseau 3G Single-SIM (SIM unique)"
MAXCOM MM724 Noir,60 €,N/A,Single-SIM (SIM unique)
Maxcom GSM classic MM760 EOL 8+16MB black,"33,80 €",N/A,
Maxcom GSM classic MM760 8+16MB white,"32,49 €",N/A,
Maxcom GSM comfort senior MM730 6+16MB black,"35,84 €",N/A,
Maxcom GSM comfort senior MM827 48+64MB black,"85,98 €",N/A,
Maxcom GSM comfort senior MM816 EOL 32+32MB black,"57,53 €",N/A,
Maxcom GSM comfort senior MM816 EOL 32+32MB RED,"59,02 €",N/A,
Maxcom GSM comfort senior MM735 8+16MB black,"100,21 €",N/A,
Phone Strong 3G Pantalon 2.4 Noir gsm,"84,99 €",N/A,
"Téléphone portable Maxcom MM139Y 2G, écran 2,4' couleur jaune","23,49 €",N/A,
"Smartphone Maxcom MS572 5,7"""" 32 GB 3 GB RAM Noir","91,06 €",N/A,
"MaxCom MK 241 3.2"" 110 g","30,38 €",N/A,"Ecran 3.2"" Double SIM"
Maxcom MM471 Noir,"44,99 €",N/A,Single-SIM (SIM unique)
MS571 Strong Maxcom 128 Go Noir,"221,11 €",N/A,Réseau 3G Double SIM
Maxcom Mm142 Gris Móvil 2.4'' Bluetooth Y Dual Sim,17 €,N/A,Double SIM
Maxcom Mm825 Negro Móvil Senior Tipo Concha 2.8'' / 1.77'' Doble Pantalla Cámara Dual Sim Sos Radio Fm Ranura Microsd,58 €,N/A,Double SIM
Maxcom Mm817 Negro Móvil Senior Tipo Concha 2.4'' Cámara Dual Sim Sos Radio Fm Ranura Microsd,"29,98 €",N/A,Double SIM
Maxcom Mm142 Negro Móvil 2.4'' Bluetooth Y Dual Sim,"26,17 €",N/A,Double SIM
Maxcom Mm824 Rojo Móvil Senior Tipo Concha 2.4'' Y 1.44'' Cámara 2mp Botón Sos Radio Fm Ranura Microsd,"51,88 €",N/A,"Ecran 3.7"" Single-SIM (SIM unique)"
Maxcom Mm428 Móvil Senior Negro 1.8,"23,84 €",N/A,"Ecran 3.7"" Single-SIM (SIM unique)"
Maxcom Mm920 Amarillo Móvil Resistente Dual Sim Con Cámara Y Bluetooth,"40,40 €","53,67 €","Ecran 3.7"" Double SIM"
Maxcom Mm720 Negro Móvil 2.4'' Bluetooth,"50,56 €",N/A,"Ecran 3.7"" Single-SIM (SIM unique)"
"Maxcom Mm462 Negro Móvil Senior 1.8'' Con Cámara 1.8mp, Teclas Grandes Y Botón Sos","46,24 €",N/A,"Ecran 3.7"" Single-SIM (SIM unique)"
Maxcom Mm920 Negro Móvil Resistente Dual Sim Con Cámara Y Bluetooth,"57,83 €",38 €,"Ecran 3.7"" Double SIM"
MAXCOM Classic MM320 Téléphone Mobile 3.2'' Blanc,52 €,N/A,
"Téléphone portable Maxcom MM139BL 2G, écran 2,4' couleur jaune","25,54 €",N/A,
