Article,neuf_price,occasion_price,description
Microsoft Lumia 650 16 Go Noir,80 €,N/A,"Ecran 5"" Réseau 4G Mémoire 16 Go / RAM 1 Go Windows 10 Snapdragon 212 Single-SIM (SIM unique) Couleur Noir"
Microsoft Lumia 640 Dual Sim 8 Go Double SIM Blanc,35 €,N/A,"Ecran 5"" Réseau 3G Mémoire 8 Go / RAM 1 Go Windows Phone OS 8.1 avec mise à jour Lumia Denim (évolutif vers Windows 10) Snapdragon 400 Double SIM Couleur Blanc"
Microsoft Surface Duo 128 Go Blanc,"499,99 €",N/A,Double SIM
Microsoft Surface Duo 2 128 Go Gris glacier,"1 122,99 €",N/A,"Ecran 5.8"" Réseau 5G Mémoire 128 Go / RAM 8 Go Android 11 Snapdragon 888 5G Double SIM Couleur Gris glacier"
Microsoft Lumia 550 8 Go Noir,20 €,N/A,"Ecran 4.7"" Réseau 4G Mémoire 8 Go / RAM 1 Go Windows 10 Snapdragon 210 Couleur Noir"
Microsoft Lumia 550 8 Go Blanc,30 €,N/A,"Ecran 4.7"" Réseau 4G Mémoire 8 Go / RAM 1 Go Windows 10 Snapdragon 210 Couleur Blanc"
Microsoft Lumia 640 LTE 8 Go Cyan,60 €,N/A,"Ecran 5"" Réseau 4G Mémoire 8 Go / RAM 1 Go Windows Phone OS 8.1 avec mise à jour Lumia Denim Snapdragon 400 Couleur Cyan"
Microsoft Lumia 650 16 Go Blanc,"197,43 €",N/A,"Ecran 5"" Réseau 4G Mémoire 16 Go / RAM 1 Go Windows 10 Snapdragon 212 Single-SIM (SIM unique) Couleur Blanc"
Microsoft Lumia 550 LTE (black),"191,58 €",N/A,"Ecran 4.7"" Single-SIM (SIM unique)"
Microsoft Lumia 640 XL LTE Dual Sim 8 Go Double SIM Noir,50 €,N/A,"Ecran 5.7"" Réseau 4G Mémoire 8 Go / RAM 1 Go Windows Phone OS 8.1 avec mise à jour Lumia Denim (évolutif vers Windows 10) Snapdragon 400 Double SIM Couleur Noir"
Microsoft Lumia 640 LTE Dual Sim 8 Go Double SIM Noir,130 €,N/A,"Ecran 5"" Réseau 4G Mémoire 8 Go / RAM 1 Go Windows Phone OS 8.1 avec mise à jour Lumia Denim (évolutif vers Windows 10) Snapdragon 400 Double SIM Couleur Noir"
Microsoft Lumia 435 Dual SIM 8 Go Double SIM Vert,105 €,N/A,"Ecran 4"" Réseau 3G Mémoire 8 Go / RAM 1 Go Windows Phone OS 8.1 avec mise à jour Lumia Denim Snapdragon 200 Double SIM Couleur Vert"
Microsoft Lumia 535 Dual SIM 8 Go Double SIM Blanc,97 €,N/A,"Ecran 5"" Réseau 3G Mémoire 8 Go / RAM 1 Go Windows Phone OS 8.1 avec mise à jour Lumia Denim Snapdragon 200 Double SIM Couleur Blanc"
Microsoft Lumia 650 16 Go Noir,80 €,N/A,"Ecran 5"" Réseau 4G Mémoire 16 Go / RAM 1 Go Windows 10 Snapdragon 212 Single-SIM (SIM unique) Couleur Noir"
Microsoft Lumia 640 Dual Sim 8 Go Double SIM Blanc,35 €,N/A,"Ecran 5"" Réseau 3G Mémoire 8 Go / RAM 1 Go Windows Phone OS 8.1 avec mise à jour Lumia Denim (évolutif vers Windows 10) Snapdragon 400 Double SIM Couleur Blanc"
Microsoft Surface Duo 128 Go Blanc,"499,99 €",N/A,Double SIM
Microsoft Surface Duo 2 128 Go Gris glacier,"1 122,99 €",N/A,"Ecran 5.8"" Réseau 5G Mémoire 128 Go / RAM 8 Go Android 11 Snapdragon 888 5G Double SIM Couleur Gris glacier"
Microsoft Lumia 550 8 Go Noir,20 €,N/A,"Ecran 4.7"" Réseau 4G Mémoire 8 Go / RAM 1 Go Windows 10 Snapdragon 210 Couleur Noir"
Microsoft Lumia 550 8 Go Blanc,30 €,N/A,"Ecran 4.7"" Réseau 4G Mémoire 8 Go / RAM 1 Go Windows 10 Snapdragon 210 Couleur Blanc"
Microsoft Lumia 640 LTE 8 Go Cyan,60 €,N/A,"Ecran 5"" Réseau 4G Mémoire 8 Go / RAM 1 Go Windows Phone OS 8.1 avec mise à jour Lumia Denim Snapdragon 400 Couleur Cyan"
Microsoft Lumia 650 16 Go Blanc,"197,43 €",N/A,"Ecran 5"" Réseau 4G Mémoire 16 Go / RAM 1 Go Windows 10 Snapdragon 212 Single-SIM (SIM unique) Couleur Blanc"
Microsoft Lumia 550 LTE (black),"191,58 €",N/A,"Ecran 4.7"" Single-SIM (SIM unique)"
Microsoft Lumia 640 XL LTE Dual Sim 8 Go Double SIM Noir,50 €,N/A,"Ecran 5.7"" Réseau 4G Mémoire 8 Go / RAM 1 Go Windows Phone OS 8.1 avec mise à jour Lumia Denim (évolutif vers Windows 10) Snapdragon 400 Double SIM Couleur Noir"
Microsoft Lumia 640 LTE Dual Sim 8 Go Double SIM Noir,130 €,N/A,"Ecran 5"" Réseau 4G Mémoire 8 Go / RAM 1 Go Windows Phone OS 8.1 avec mise à jour Lumia Denim (évolutif vers Windows 10) Snapdragon 400 Double SIM Couleur Noir"
Microsoft Lumia 435 Dual SIM 8 Go Double SIM Vert,105 €,N/A,"Ecran 4"" Réseau 3G Mémoire 8 Go / RAM 1 Go Windows Phone OS 8.1 avec mise à jour Lumia Denim Snapdragon 200 Double SIM Couleur Vert"
Microsoft Lumia 535 Dual SIM 8 Go Double SIM Blanc,97 €,N/A,"Ecran 5"" Réseau 3G Mémoire 8 Go / RAM 1 Go Windows Phone OS 8.1 avec mise à jour Lumia Denim Snapdragon 200 Double SIM Couleur Blanc"
