Article,neuf_price,occasion_price,description
Motorola Moto G5 Plus 32 Go Double SIM Gris lunaire,N/A,N/A,N/A
Motorola Moto G7 Dual SIM 64 Go Blanc,N/A,N/A,N/A
Motorola RAZR 40 256 Go Vert sauge,N/A,N/A,N/A
Motorola Moto G84 256 Go Bleu nuit,N/A,N/A,N/A
Motorola RAZR 40 Ultra 256 Go Vive le magenta,767 €,N/A,"Ecran 6.9"" Réseau 5G Mémoire 256 Go / RAM 8 Go Android 13 Snapdragon 8+ Gen 1 Double SIM Couleur Vive le magenta"
Motorola Moto E13 64 Go Noir cosmique,"66,49 €",N/A,"Ecran 6.5"" Réseau 4G Mémoire 64 Go / RAM 2 Go Android 13 (édition Go) Double SIM Couleur Noir cosmique"
Motorola Edge 40 256 Go Noir eclipse,299 €,379 €,"Ecran 6.55"" Réseau 5G Mémoire 256 Go / RAM 8 Go Android 13 Dimensity 8020 Double SIM Couleur Noir eclipse"
Motorola Moto G24 128 Go Charbon mat,"104,93 €",N/A,"Ecran 6.56"" Réseau 4G Mémoire 128 Go / RAM 4 Go Android 14 Helio G85 Double SIM Couleur Charbon mat"
Motorola Edge 40 256 Go Noir eclipse,N/A,N/A,N/A
Motorola Moto G73 5G 256 Go Bleu nuit,"182,28 €",N/A,"Ecran 6.5"" Réseau 5G Mémoire 256 Go / RAM 8 Go Android 13 Dimensity 930 Double SIM Couleur Bleu nuit"
"Motorola moto g14 16,5 cm (6.5') Double SIM Android 13 4G USB Type-C 8 Go 256 Go 5000 mAh Gris","141,41 €",120 €,Réseau 4G Android Double SIM
Motorola Moto G34 128 Go Noir charbon,"144,07 €",109 €,"Ecran 6.5"" Réseau 5G Mémoire 128 Go / RAM 4 Go Android 14 Snapdragon 695 Double SIM Couleur Noir charbon"
Motorola Moto G84 256 Go Rouge,"202,91 €",N/A,"Ecran 6.51"" Réseau 5G Mémoire 256 Go / RAM 12 Go Android 13 Snapdragon 695 5G Double SIM Couleur Vive le magenta"
"Motorola Smartphone One Zoom avec Alexa HandsFree (Ecran FHD+ 6,4 Pouces, 4Go RAM, 128Go ROM, Double Nano SIM, Android 9.0, Quadruple Camera) Violet",190 €,N/A,Android
Motorola RAZR V3 Or/Gold,"61,60 €",N/A,"Ecran 3.7"" Single-SIM (SIM unique)"
Motorola Moto G84 256 Go Bleu,"202,91 €","393,69 €","Ecran 6.51"" Réseau 5G Mémoire 256 Go / RAM 12 Go Android 13 Snapdragon 695 5G Double SIM Couleur Marshmallow blue"
Motorola Moto E20 6.5' HD+ 2/32GB Graphite,"119,99 €",N/A,
Motorola RAZR 40 Ultra 256 Go Noir infini,"706,23 €","679,90 €","Ecran 6.9"" Réseau 5G Mémoire 256 Go / RAM 8 Go Android 13 Snapdragon 8+ Gen 1 Double SIM Couleur Noir infini"
"Motorola XT1922 MOTO G6 PLAY - 32Go, 3Go RAM - Bleu Nuit","74,30 €",N/A,Android Single-SIM (SIM unique)
Motorola Edge 30 Neo 5G 8 Go/256 Go Noir (Black Onyx) Double SIM XT2245-1,"250,64 €",N/A,Réseau 5G Double SIM
Motorola Edge 50 Pro 512 Go Beauté noire,"569,87 €",N/A,"Ecran 6.7"" Réseau 5G Mémoire 512 Go / RAM 12 Go Android 14 Snapdragon 7 Gen 3 Double SIM Couleur Beauté noire"
Motorola Moto G84 256 Go Bleu nuit,"202,91 €",180 €,"Ecran 6.5"" Réseau 5G Mémoire 256 Go / RAM 12 Go Android 13 Snapdragon 695 5G Double SIM Couleur Bleu nuit"
Motorola RAZR 40 256 Go Vert sauge,496 €,496 €,"Ecran 6.9"" Réseau 5G Mémoire 256 Go / RAM 8 Go Android 13 Snapdragon 7 Gen 1 Double SIM Couleur Vert sauge"
Motorola Edge 40 Neo 256 Go Bleu,"312,19 €",N/A,"Ecran 6.55"" Réseau 5G Mémoire 256 Go / RAM 12 Go Android 13 Dimensity 7030 Double SIM Couleur Baie de caneel"
MOTOROLA Pack G24 + Coque + Verre trempé,129 €,N/A,"Ecran 6.6"" Réseau 4G Mémoire 128 Go / RAM 4 Go Android 14 Double SIM"
Smartphone MOTOROLA Pack Edge 50 Pro 512 Noir+Buds Bose,649 €,N/A,"Ecran 6.7"" Réseau 5G Mémoire 512 Go / RAM 12 Go Android 14 Double SIM"
Motorola RAZR 40 256 Go Lilas d'été,"507,78 €",N/A,"Ecran 6.9"" Réseau 5G Mémoire 256 Go / RAM 8 Go Android 13 Snapdragon 7 Gen 1 Double SIM Couleur Lilas d'été"
Motorola Moto E22 64 Go Noir astro,"93,77 €",N/A,"Ecran 6.5"" Réseau 4G Mémoire 64 Go / RAM 4 Go Android 12 Helio G37 Double SIM Couleur Noir astro"
Motorola Moto G13 128 Go Charbon mat,99 €,N/A,"Ecran 6.5"" Réseau 4G Mémoire 128 Go / RAM 4 Go Android 13 Helio G85 Double SIM Couleur Charbon mat"
Motorola Edge 40 5G Dual-SIM 256 Go Vert,"359,02 €",N/A,Réseau 5G Mémoire 256 Go / RAM 8 Go Double SIM
"Motorola Moto G 04 16,7 Cm (6.56"") Double Sim Android 14 4g Usb Type-","80,89 €",73 €,Réseau 4G Android Double SIM
Motorola Edge 40 Neo 256 Go Beauté noire,"316,88 €","229,90 €","Ecran 6.55"" Réseau 5G Mémoire 256 Go / RAM 12 Go Android 13 Dimensity 7030 Double SIM Couleur Beauté noire"
Motorola Moto E20 32 Go Gris graphite,"123,99 €",N/A,"Ecran 6.5"" Réseau 4G Mémoire 32 Go / RAM 2 Go Android 11 (Go edition) Double SIM Couleur Gris graphite"
Motorola RAZR V3 Noir,"55,69 €",N/A,"Ecran 2.2"" Single-SIM (SIM unique) Couleur Noir"
Motorola Edge 30 Neo 128 Go,"161,60 €",N/A,"Ecran 6.28"" Mémoire 128 Go / RAM 8 Go Android 12 Couleur Noir"
Motorola Edge 40 Pro 256 Go Noir interstellaire,"678,44 €",500 €,"Ecran 6.67"" Réseau 5G Mémoire 256 Go / RAM 12 Go Android 13 Snapdragon 8 Gen 2 Double SIM Couleur Noir interstellaire"
Motorola Edge 50 Pro 512 Go Violet,649 €,489 €,"Ecran 6.7"" Réseau 5G Mémoire 512 Go / RAM 12 Go Android 14 Snapdragon 7 Gen 3 Double SIM Couleur Luxe lavender"
Motorola Edge 50 Pro 5G Dual-SIM 512 Go Perle,"623,78 €",N/A,Réseau 5G Mémoire 512 Go / RAM 12 Go Double SIM
Motorola RAZR2 V9,"83,99 €",N/A,
