Article,neuf_price,occasion_price,description
Nokia E72 Noir zodium,N/A,N/A,N/A
Nokia 1110 1110i téléphone GSM 2G remis à neuf en plusieurs langues,N/A,N/A,N/A
Nokia 3310 Dual SIM 16 Mo Bleu foncé,N/A,N/A,N/A
Nokia N8,N/A,N/A,N/A
Nokia 2660 Flip Téléphone 4G Vert,"71,51 €",N/A,"Ecran 3.8"" Réseau 4G Single-SIM (SIM unique)"
Nokia 105 Dual-SIM (2019) Noir,"26,40 €",N/A,"Ecran 1.77"" Double SIM Couleur Noir"
Téléphone portable NOKIA 110 4G Bleu nuit,"44,90 €",N/A,"Ecran 3.8"" Réseau 4G"
Nokia 2720 Flip 4 Go Double SIM Gris,"99,90 €",N/A,"Ecran 2.8"" Réseau 4G Mémoire 4 Go / RAM 512 Mo 205 Mobile Platform Double SIM Couleur Gris"
Nokia 6500 Classic,N/A,N/A,N/A
Nokia 6700 classic Or,N/A,N/A,N/A
Nokia C3-01 Argent,N/A,N/A,N/A
Nokia 800 Tough 4 Go Double SIM Noir acier,"119,98 €",N/A,"Ecran 2.4"" Réseau 4G Mémoire 4 Go / RAM 512 Mo 205 Mobile Platform Double SIM Couleur Noir acier"
Nokia 2720 Flip 4 Go Mer noire,"99,99 €",N/A,"Ecran 2.8"" Réseau 4G Mémoire 4 Go / RAM 512 Mo 205 Mobile Platform Double SIM Couleur Mer noire"
Nokia 3310 Dual SIM 16 Mo Rouge chaud,"51,80 €",N/A,"Ecran 2.4"" Double SIM Couleur Rouge chaud"
Nokia 515 Dual SIM Double SIM Noir,129 €,N/A,"Ecran 2.4"" Réseau 3G Double SIM Couleur Noir"
Nokia E72 Noir zodium,45 €,N/A,"Ecran 2.36"" Réseau 3G Symbian OS 9.3 / Series 60 3rd Edition Feature Pack 2 Single-SIM (SIM unique) Couleur Noir zodium"
Nokia 225 Noir,35 €,N/A,"Ecran 2.8"" Single-SIM (SIM unique) Couleur Noir"
Nokia 2.4 32 Go Charbon,"51,92 €",N/A,"Ecran 6.5"" Réseau 4G Mémoire 32 Go / RAM 2 Go Android 10 Helio P22 Double SIM Couleur Charbon"
Nokia 8210 Rouge,55 €,N/A,"Ecran 3.7"" Single-SIM (SIM unique) Couleur Rouge"
Nokia 3310 16 Mo Rouge chaud,N/A,N/A,N/A
Nokia 3.2 16 Go Noir,N/A,N/A,N/A
Nokia 6300 Noir,"32,96 €",N/A,"Ecran 3.8"""
"NOKIA G11 Smartphone Dual-SIM 6.5"" - 32GB - 3 Go RAM - Charbon","88,99 €",N/A,"Ecran 3.8"" Mémoire 32 Go / RAM 3 Go Double SIM"
Nokia 7230 Graphite,"54,50 €",N/A,"Ecran 3.8"" Single-SIM (SIM unique)"
