Article,neuf_price,occasion_price,description
Nothing Phone (2a) 5G Dual-SIM 128 Go Blanc,349 €,N/A,"Ecran 6.7"" Réseau 5G Mémoire 128 Go / RAM 8 Go Android 14 Double SIM Couleur Blanc"
Smartphone Nothing Phone (2) 5G - 128 Go - 8 Go RAM - Gris foncé,479 €,N/A,"Ecran 6.7"" Réseau 5G Mémoire 128 Go / RAM 8 Go Double SIM"
Smartphone Nothing Phone (2) 5G - 256 Go - 12 Go RAM - Gris foncé,579 €,N/A,"Ecran 6.7"" Réseau 5G Mémoire 256 Go / RAM 12 Go Android 13 Double SIM Couleur Gris foncé"
"FOSSiBOT F101P Smartphone robuste mis à jour, 4 Go + 64 Go, triple caméra AI, haut-parleur 123 dB, MediaTek Helio P22 Octa-Core, grande batterie 10 600 mAh, Android 13.0 - Rouge",99 €,N/A,Mémoire 64 Go / RAM 4 Go Android
Nothing Phone (1) 5G Dual SIM 8/256 Go Noir,319 €,250 €,"Ecran 6.55"" Réseau 5G Mémoire 256 Go / RAM 8 Go Android 12 Double SIM Couleur Noir"
Nothing Phone (2) 5G - 256 Go - 12 Go RAM - Blanc,538 €,699 €,"Ecran 6.7"" Réseau 5G Mémoire 256 Go / RAM 12 Go Android 13 Double SIM Couleur Blanc"
Nothing Phone (2a) 5G Dual-SIM 256 Go Blanc,399 €,N/A,Réseau 5G Mémoire 256 Go / RAM 12 Go Double SIM
Nothing Phone (2a) 5G Dual-SIM 256 Go Noir,399 €,N/A,Réseau 5G Mémoire 256 Go / RAM 12 Go Double SIM
Nothing Phone (2a) 5G Dual-SIM 128 Go Noir,349 €,N/A,"Ecran 6.7"" Réseau 5G Mémoire 128 Go / RAM 8 Go Android 14 Double SIM Couleur Noir"
"FOSSiBOT F102 Smartphone robuste 12 Go + 256 Go, caméra avant 32 MP + caméra arrière 108 MP, 16500mAh, Android 13.0, écran FHD+ 6.58 pouces, lumières de camping 3W, GPS NFC Version UE - Gris","179,99 €",N/A,Mémoire 256 Go / RAM 12 Go Android
"FOSSiBOT F102 Smartphone robuste débloqué 2023, 12 Go + 256 Go, caméra avant 32MP+caméra arrière 108MP, 16500mAh, Android 13.0,écran FHD+ 6,58 pouces, lumières de camping 3W,GPS NFC, version UE - Rouge",199 €,N/A,Mémoire 256 Go / RAM 12 Go Android
Smartphone Nothing Phone (2) 5G - 512 Go - 12 Go RAM - Gris foncé,589 €,N/A,"Ecran 6.7"" Réseau 5G Mémoire 512 Go / RAM 12 Go Android 13 Double SIM Couleur Gris"
"FOSSiBOT F101P Smartphone robuste 4 Go + 64 Go, triple caméra AI, haut-parleur 123 dB, MediaTek Helio P22 Octa-Core, empreinte digitale/déverrouillage du visage, Android 13.0 - Noir",99 €,N/A,Mémoire 64 Go / RAM 4 Go Android
Nothing Phone (1) 5G Dual SIM 8/128 Go Noir,270 €,N/A,"Ecran 6.55"" Réseau 5G Mémoire 128 Go / RAM 8 Go Android 12 Double SIM Couleur Noir"
Hotwav W10 32 Go Dual SIM Noir/Orange,135 €,N/A,Double SIM
TELEPHONE PORTABLE INCASSABLE HAMMER BASALT - DUAL SIM - NOIR,"67,29 €",N/A,Double SIM
Smartphone Nothing Phone (2) 5G - 512 Go - 12 Go RAM - Blanc,582 €,N/A,"Ecran 6.7"" Réseau 5G Mémoire 512 Go / RAM 12 Go Android 13 Double SIM Couleur Blanc"
Nothing Phone (1) 5G Dual SIM 12/256 Go Blanc,260 €,N/A,"Ecran 6.55"" Réseau 5G Mémoire 256 Go / RAM 12 Go Android 12 Double SIM Couleur Blanc"
Nothing Phone (1) 5G Dual SIM 12/256 Go Noir,350 €,N/A,"Ecran 6.55"" Réseau 5G Mémoire 256 Go / RAM 12 Go Android 12 Double SIM Couleur Noir"
Nothing Phone (1) 5G Dual SIM 8/256 Go Blanc,"611,61 €",N/A,"Ecran 6.55"" Réseau 5G Mémoire 256 Go / RAM 8 Go Android 12 Double SIM Couleur Blanc"
Nothing Phone (2a) 5G Dual-SIM 128 Go Blanc,349 €,N/A,"Ecran 6.7"" Réseau 5G Mémoire 128 Go / RAM 8 Go Android 14 Double SIM Couleur Blanc"
Smartphone Nothing Phone (2) 5G - 128 Go - 8 Go RAM - Gris foncé,479 €,N/A,"Ecran 6.7"" Réseau 5G Mémoire 128 Go / RAM 8 Go Double SIM"
