Article,neuf_price,occasion_price,description
OnePlus 9 5G 8/128 Go Double SIM Violet,N/A,N/A,N/A
Nubia Z60 Ultra 5G Dual-SIM 16 Go / 512 Go Noir,"723,88 €",N/A,Réseau 5G Mémoire 512 Go / RAM 16 Go Double SIM
Nubia Z60 Ultra 5G Dual-SIM 16 Go / 1 To Noir,899 €,N/A,Réseau 5G Mémoire 1 To / RAM 16 Go Double SIM
OnePlus 9 5G 8/128 Go Double SIM Violet,"290,70 €",N/A,"Ecran 6.55"" Réseau 5G Mémoire 128 Go / RAM 8 Go Android Snapdragon 888 Double SIM Couleur Winter mist"
NUBIA RED MAGIC 8S Pro 5G Double SIM 8/256 Go Nuit Noir,"668,80 €",N/A,Réseau 5G Mémoire 256 Go / RAM 8 Go Double SIM
Smartphone ZTE Nubia Redmagic 6R 5G 12/256GB Mercury Argent,"402,99 €",N/A,"Ecran 6.67"" Réseau 5G Mémoire 256 Go / RAM 12 Go Couleur Argent"
Nubia Red Magic 9 Pro 512 Go Dual-SIM Noir,"779,90 €",N/A,Mémoire 512 Go / RAM 12 Go Double SIM
Nubia Z60 Ultra 5G Dual-SIM 24 Go / 1 To Noir,1 039 €,N/A,Réseau 5G Double SIM
Nubia Red Magic 9 Pro 12/256 Go Dual SIM Noir,"769,90 €",N/A,Double SIM
ZTE Nubia Z50 12/512 Go Menthe,300 €,N/A,
NUBIA Red Magic 9 Pro 5G Double SIM 512 Go Argent,999 €,N/A,Réseau 5G Mémoire 512 Go / RAM 12 Go Double SIM
Nubia Z60 Ultra 5G Dual-SIM 16 Go / 512 Go Argent,799 €,N/A,Réseau 5G Mémoire 512 Go / RAM 16 Go Double SIM
Nubia RedMagic 8S Pro 5G Dual-SIM 12/256 Go Argent,"1 000,99 €",N/A,Réseau 5G Mémoire 256 Go / RAM 12 Go Double SIM
Nubia Red Magic 8 Pro 256 Go Dual-SIM Noir,650 €,N/A,Double SIM
Nubia Z50S Pro 12/256 Go Noir,450 €,N/A,
ZTE Nubia Z60 Ultra 5G 12/256 Go Dual SIM Noir,"713,59 €",N/A,Réseau 5G Mémoire 256 Go / RAM 12 Go Double SIM
NUBIA RedMagic 8S Pro 5G Double SIM 12/256 Go Silver Wing (Platinum),"728,90 €",N/A,Réseau 5G Mémoire 256 Go / RAM 12 Go Double SIM
NUBIA RED MAGIC 8S Pro 5G Double SIM 12/512 Go Nuit Noir,"728,80 €",N/A,Réseau 5G Mémoire 512 Go / RAM 12 Go Double SIM
NUBIA RedMagic 8S Pro 5G Double SIM 12/512 Go Silver Wing (Platinum),"758,90 €",N/A,Réseau 5G Mémoire 512 Go / RAM 12 Go Double SIM
NUBIA RED MAGIC 8S Pro 5G Double SIM 12/256 Go Nuit Noir,"678,90 €",N/A,Réseau 5G Double SIM
Nubia RedMagic 7 Pro 12/256 Go Transformers Edition,680 €,N/A,
Nubia Red Magic 8 Pro 5G 12/256 Go Noir,499 €,N/A,Réseau 5G Mémoire 256 Go / RAM 12 Go
Nubia Red Magic 7 256 Go (Ram 18 Go) Supernova,450 €,N/A,
Nubia Red Magic 6s Pro 16/256 Go Ghost Transparent,500 €,N/A,
OnePlus 9 5G 8/128 Go Double SIM Violet,N/A,N/A,N/A
Nubia Z60 Ultra 5G Dual-SIM 16 Go / 512 Go Noir,"723,88 €",N/A,Réseau 5G Mémoire 512 Go / RAM 16 Go Double SIM
