Article,neuf_price,occasion_price,description
OPPO A15 32 Go Noir dynamique,N/A,N/A,N/A
OPPO A54 5G Noir 4 + 64 Go,N/A,N/A,N/A
OPPO A17 64 Go Noir minuit,N/A,N/A,N/A
Oppo A5 (2020) Dual SIM 64GB 3GB RAM Noir,N/A,N/A,N/A
Oppo Find X5 5G 256 Go Blanc,"349,35 €","362,89 €","Ecran 6.5"" Réseau 5G Mémoire 256 Go / RAM 8 Go ColorOS 12.1 (basé sur Android 12) Snapdragon 888 Double SIM Couleur Blanc"
"OPPO Reno 11F 5G 6,7"" 120 Hz FHD+ 256 Go 8 Go Vert","247,19 €",N/A,Réseau 5G
"OPPO A18 6,56"" HD+ 4 Go(+4) 128 Go Noir brillant","120,57 €",N/A,
Oppo Find X5 Pro 5G 256 Go Noir,"549,88 €",N/A,"Ecran 6.7"" Réseau 5G Mémoire 256 Go / RAM 12 Go ColorOS 12.1 (basé sur Android 12) Snapdragon 8 Gen 1 Double SIM Couleur Noir glacé"
OPPO Find X2 PRO 512 Go Orange,N/A,N/A,N/A
OPPO A72 128 Go Noir crépuscule,N/A,N/A,N/A
Oppo A16s 4/64 Go Dual Sim Crystal black,N/A,N/A,N/A
Oppo Find X5 5G 256 Go Noir,"360,74 €","334,90 €","Ecran 6.5"" Réseau 5G Mémoire 256 Go / RAM 8 Go ColorOS 12.1 (basé sur Android 12) Snapdragon 888 Double SIM Couleur Noir"
Oppo Find X3 PRO 256 Go Bleu,"398,87 €","325,72 €","Ecran 6.7"" Réseau 5G Mémoire 256 Go / RAM 12 Go ColorOS 11.2 (basé sur Android 11) Snapdragon 888 Double SIM Couleur Bleu"
OPPO A53S 5G 128 Go Bleu,"79,99 €",N/A,Réseau 5G Mémoire 128 Go / RAM 4 Go
OPPO Reno8 5G 256 Go Noir chatoyant,"244,94 €",165 €,"Ecran 6.4"" Réseau 5G Mémoire 256 Go / RAM 8 Go ColorOS 12.1 (basé sur Android 12) Dimensity 1300 Double SIM Couleur Noir chatoyant"
OPPO A77 5G 128 Go Noir minuit,"151,05 €",N/A,"Ecran 6.56"" Réseau 5G Mémoire 128 Go / RAM 6 Go ColorOS 12.1 (basé sur Android 12) Dimensity 810 Double SIM Couleur Noir minuit"
Oppo Find X5 Pro 5G 256 Go Blanc,559 €,N/A,"Ecran 6.7"" Réseau 5G Mémoire 256 Go / RAM 12 Go ColorOS 12.1 (basé sur Android 12) Snapdragon 8 Gen 1 Double SIM Couleur Blanc céramique"
Oppo Find X5 Lite 5G 256 Go Noir,"292,39 €","207,58 €","Ecran 6.43"" Réseau 5G Mémoire 256 Go / RAM 8 Go ColorOS 12 (basé sur Android 11) Dimensity 900 Double SIM Couleur Noir stellaire"
