Article,neuf_price,occasion_price,description
Xiaomi Redmi 9C 64 Go Orange,N/A,N/A,N/A
Xiaomi Redmi Note 8 Pro 64 Go (RAM 6 Go) Double SIM Orange,N/A,N/A,N/A
Apple iPhone XR 128 Go Corail,N/A,N/A,N/A
Samsung Galaxy S20 FE 4G 128 Go Orange,N/A,N/A,N/A
Honor Magic6 Lite 256 Go Orange,"269,99 €",N/A,Réseau 5G Mémoire 256 Go / RAM 8 Go Android Double SIM
Orange Zuco Noir,79 €,N/A,Single-SIM (SIM unique)
Orange Hapi 50 Bleu,25 €,N/A,Single-SIM (SIM unique)
Orange Rise 52 8 Go Noir,"11,30 €",N/A,Single-SIM (SIM unique)
Xiaomi Redmi 9C 64 Go Orange,N/A,N/A,N/A
Huawei P30 Pro 128 Go (RAM 8 Go) Double SIM Amber Sunrise Orange,N/A,N/A,N/A
Apple iPhone XR 256 Go Corail,N/A,N/A,N/A
Orange Tara Noir,39 €,N/A,Single-SIM (SIM unique)
ROYOLE FLEXPAI 2 256 Go Noir,1 000 €,N/A,
Orange SoshPhone 2021 32 Go Noir,"49,90 €",N/A,Mémoire 32 Go / RAM 3 Go
Oppo Find X3 Lite 128 Go Bleu,149 €,N/A,"Ecran 6.43"" Réseau 5G Mémoire 128 Go / RAM 8 Go ColorOS 11.1 (based on Android 11) Snapdragon 765 Double SIM Couleur Bleu"
Orange Chicago Noir,20 €,N/A,Single-SIM (SIM unique)
Orange Dixo 128 Mo Blanc,35 €,N/A,"Ecran 2.4"" Réseau 3G MT6276 Single-SIM (SIM unique) Couleur Blanc"
Orange Neva start 8 Go Gris,40 €,N/A,"Ecran 4.95"" Réseau 4G Mémoire 8 Go / RAM 1 Go Double SIM Couleur Gris"
Oppo A9 2020 128 Go Violet,"113,12 €",N/A,"Ecran 6.5"" Réseau 4G Mémoire 128 Go / RAM 4 Go ColorOS 6.0.1 (basé sur Android 9) Snapdragon 665 Double SIM Couleur Violet"
Google Pixel 4 128 Go Android 10.0 Orange,N/A,N/A,N/A
Honor Magic6 Lite 256 Go Orange,N/A,N/A,N/A
Orange Hiro 4 Go Noir,40 €,N/A,Single-SIM (SIM unique)
Oppo Reno 2z 128 Go Blanc,276 €,N/A,"Ecran 6.5"" Réseau 4G Mémoire 128 Go / RAM 8 Go ColorOS 6.1 (basé sur Android 9) Helio P90 Double SIM Couleur Blanc"
Oppo Reno 2z 128 Go Noir,"175,99 €",N/A,"Ecran 6.5"" Réseau 4G Mémoire 128 Go / RAM 8 Go ColorOS 6.1 (basé sur Android 9) Helio P90 Double SIM Couleur Noir"
Orange SPV E200,99 €,N/A,Microsoft Windows Mobile 2003 pour Smartphone
Orange Dallas - Téléphone mobile GPRS - noir,29 €,N/A,"Ecran 3.7"" Single-SIM (SIM unique)"
Xiaomi Redmi 9C 64 Go Orange,N/A,N/A,N/A
Xiaomi Redmi Note 8 Pro 64 Go (RAM 6 Go) Double SIM Orange,N/A,N/A,N/A
Apple iPhone XR 128 Go Corail,N/A,N/A,N/A
Samsung Galaxy S20 FE 4G 128 Go Orange,N/A,N/A,N/A
Honor Magic6 Lite 256 Go Orange,"269,99 €",N/A,Réseau 5G Mémoire 256 Go / RAM 8 Go Android Double SIM
Orange Zuco Noir,79 €,N/A,Single-SIM (SIM unique)
Orange Hapi 50 Bleu,25 €,N/A,Single-SIM (SIM unique)
Orange Rise 52 8 Go Noir,"11,30 €",N/A,Single-SIM (SIM unique)
Xiaomi Redmi 9C 64 Go Orange,N/A,N/A,N/A
Huawei P30 Pro 128 Go (RAM 8 Go) Double SIM Amber Sunrise Orange,N/A,N/A,N/A
Apple iPhone XR 256 Go Corail,N/A,N/A,N/A
Orange Tara Noir,39 €,N/A,Single-SIM (SIM unique)
ROYOLE FLEXPAI 2 256 Go Noir,1 000 €,N/A,
Orange SoshPhone 2021 32 Go Noir,"49,90 €",N/A,Mémoire 32 Go / RAM 3 Go
Oppo Find X3 Lite 128 Go Bleu,149 €,N/A,"Ecran 6.43"" Réseau 5G Mémoire 128 Go / RAM 8 Go ColorOS 11.1 (based on Android 11) Snapdragon 765 Double SIM Couleur Bleu"
Orange Chicago Noir,20 €,N/A,Single-SIM (SIM unique)
Orange Dixo 128 Mo Blanc,35 €,N/A,"Ecran 2.4"" Réseau 3G MT6276 Single-SIM (SIM unique) Couleur Blanc"
Orange Neva start 8 Go Gris,40 €,N/A,"Ecran 4.95"" Réseau 4G Mémoire 8 Go / RAM 1 Go Double SIM Couleur Gris"
Oppo A9 2020 128 Go Violet,"113,12 €",N/A,"Ecran 6.5"" Réseau 4G Mémoire 128 Go / RAM 4 Go ColorOS 6.0.1 (basé sur Android 9) Snapdragon 665 Double SIM Couleur Violet"
Google Pixel 4 128 Go Android 10.0 Orange,N/A,N/A,N/A
Honor Magic6 Lite 256 Go Orange,N/A,N/A,N/A
Orange Hiro 4 Go Noir,40 €,N/A,Single-SIM (SIM unique)
Oppo Reno 2z 128 Go Blanc,276 €,N/A,"Ecran 6.5"" Réseau 4G Mémoire 128 Go / RAM 8 Go ColorOS 6.1 (basé sur Android 9) Helio P90 Double SIM Couleur Blanc"
Oppo Reno 2z 128 Go Noir,"175,99 €",N/A,"Ecran 6.5"" Réseau 4G Mémoire 128 Go / RAM 8 Go ColorOS 6.1 (basé sur Android 9) Helio P90 Double SIM Couleur Noir"
Orange SPV E200,99 €,N/A,Microsoft Windows Mobile 2003 pour Smartphone
Orange Dallas - Téléphone mobile GPRS - noir,29 €,N/A,"Ecran 3.7"" Single-SIM (SIM unique)"
