Article,neuf_price,occasion_price,description
"OUKITEL WP36 Smartphone Incassable 16 Go + 128 Go/1TO, 10600mAh Android 13 avec Haut-Parleur 128dB, 6.52"" HD+, 13MP, Smartphone Antichoc Dual SIM 4G/NFC/OTG/Face ID - Noir","174,99 €",N/A,Réseau 4G Mémoire 128 Go / RAM 16 Go Android Double SIM
"Oukitel WP9 (Double Sim - 5.86"" - 8 000 mAh - 128 Go, 6 Go RAM) - Noir","129,50 €",N/A,Double SIM
"OUKITEL WP33 Pro 5G Téléphone Portable Incassable 2024 24 Go + 256 Go Écran 6.6"" FHD+ 64MP+20MP Haut-Parleur 136DB Dual SIM/NFC/OTG/GPS - Noir","317,98 €",N/A,Réseau 5G Mémoire 256 Go / RAM 8 Go Double SIM
"OUKITEL WP32 Incassable 12/128 Go 6300mAh 6"" Android 13 Smartphone Dual SIM 4G/NFC/GPS/Face ID/OTG - Orange","119,99 €",N/A,Réseau 4G Mémoire 128 Go / RAM 4 Go Android Double SIM
Oukitel WP20 Pro Smartphone Robuste4Go/64Go Vert,80 €,N/A,Double SIM
"OUKITEL WP30 Pro 5G Incassable 24/512 Go 11000mAh/120W 120 Hz 6.78"" FHD+ Android 13 Smartphone NFC/WiFi 6 - Noir","448,99 €",N/A,Réseau 5G Mémoire 512 Go / RAM 12 Go Android Double SIM
"OUKITEL WP23 Pro Incassable 16Go+128Go/1To SD, 10600mAh 6.52"" Android 13 Smartphone 4G NFC GPS, Vert",100 €,N/A,Réseau 4G Mémoire 128 Go / RAM 8 Go Android Double SIM
"Oukitel WP9 (Double Sim - 5.86"" - 8 000 mAh - 128 Go, 6 Go RAM) - Orange","132,30 €",N/A,Mémoire 128 Go / RAM 6 Go Double SIM
"OUKITEL WP32 Telephone Portable Incassable - 12Go + 128Go 6300 mAh, Octa-Core, 6"" HD+, Android 13, IP68, WiFi GPS/NFC/OTG.","159,99 €",N/A,Android Double SIM
OUTAD P46 8 Go Violet,45 €,N/A,Mémoire 8 Go / RAM 1 Go
"Oukitel WP23 Pro (Double Sim - 6.52"" - 10 600 mAh - 128 Go, 8 Go RAM) Noir","172,61 €",N/A,Double SIM
Smartphone Oukitel Wp27 12/256gb 8500mah Ip68 Ip69k (wp27-ce/ol) Grey,"268,34 €",N/A,Double SIM
"Oukitel WP21 (Double Sim - 6.78"" - NFC - 256 Go, 12 Go RAM) Noir","324,53 €",N/A,Double SIM
Oukitel WP30 Pro 5G 512 Go Dual-SIM Noir,425 €,N/A,Réseau 5G Double SIM
"Oukitel WP27 (Double Sim - 6.8"" - NFC - 8 500 mAh - 256 Go, 12 Go RAM) Noir","286,92 €",N/A,Double SIM
"Oukitel WP33 Pro 5G (Double Sim - 6.6"" - 22 000 mAh - 256 Go, 8 Go RAM) Noir","354,59 €",N/A,Réseau 5G Double SIM
"Oukitel WP23 (Double Sim - 6.52"" - 10 600 mAh - 64 Go, 4 Go RAM) Noir","129,99 €",N/A,Double SIM
"Oukitel WP26 (Double Sim - 6.58"" - NFC - 10 000 mAh - 256 Go, 8 Go RAM) Noir","249,31 €",N/A,Double SIM
OUKITEL C37 6/256 Go Vert,97 €,N/A,Mémoire 256 Go / RAM 6 Go Double SIM
"Oukitel WP30 Pro 5G (Double Sim - 6.78"" - 11 000 mAh - 512 Go, 12 Go RAM) Noir","520,07 €",N/A,Réseau 5G Double SIM
