Article,neuf_price,occasion_price,description
Samsung Galaxy S24 Ultra 512 Go Gris titane,N/A,N/A,N/A
Samsung Galaxy S23 128 Go Mauve,N/A,N/A,N/A
LG G8X ThinQ 128 Go Noir aurore,N/A,N/A,N/A
Samsung Galaxy S21 Ultra 5G 128 Go Argent,N/A,N/A,N/A
Apple iPhone 15 128 Go Noir,699 €,"695,99 €","Ecran 6.1"" Réseau 5G iOS 17 A16 Bionic Double SIM Couleur Noir"
Apple iPhone 15 Pro Max 256 Go Titane naturel,"1 159,99 €",1 000 €,"Ecran 6.7"" Réseau 5G iOS 17 A17 Pro Double SIM Couleur Titane Naturel"
Apple iPhone 15 128 Go Bleu,699 €,650 €,"Ecran 6.1"" Réseau 5G iOS 17 A16 Bionic Double SIM Couleur Bleu"
Apple iPhone 13 Noir minuit 128 Go,"575,58 €",397 €,"Ecran 6.1"" Réseau 5G iOS 15 A15 Bionic Double SIM Couleur Noir minuit"
Samsung Galaxy S23 256 Go Vert,N/A,N/A,N/A
Samsung Galaxy S24 256 Go Noir onyx,N/A,N/A,N/A
Samsung Galaxy S22 Ultra 256 Go Noir fantôme,N/A,N/A,N/A
Apple iPhone 15 Pro Max 256 Go Titane bleu,1 159 €,1 119 €,"Ecran 6.7"" Réseau 5G iOS 17 A17 Pro Double SIM Couleur Bleu titane"
Samsung Galaxy S23 128 Go Noir fantôme,"407,86 €","393,56 €","Ecran 6.1"" Réseau 5G Mémoire 128 Go / RAM 8 Go Android Snapdragon 8 Gen 2 Double SIM Couleur Noir fantôme"
Samsung Galaxy S24 Ultra 256 Go Noir titane,"899,99 €","899,89 €","Ecran 6.8"" Réseau 5G Mémoire 256 Go / RAM 12 Go Android Snapdragon 8 Gen 3 for Galaxy Double SIM Couleur Noir titane"
Apple iPhone 15 128 Go Rose,699 €,700 €,"Ecran 6.1"" Réseau 5G iOS 17 A16 Bionic Double SIM Couleur Rose"
Apple iPhone 13 Blanc Lumière stellaire 128 Go,"576,60 €",397 €,"Ecran 6.1"" Réseau 5G iOS 15 A15 Bionic Double SIM Couleur Lumiere stellaire"
Apple iPhone 15 Pro 256 Go Titane naturel,"1 029,99 €","889,90 €","Ecran 6.1"" Réseau 5G iOS 17 A17 Pro Double SIM Couleur Titane Naturel"
Apple iPhone 12 Noir 128 Go,509 €,"279,89 €","Ecran 6.1"" Réseau 5G iOS 14 A14 Bionic Double SIM Couleur Noir"
Samsung Galaxy S21 5G 128 Go Gris phantôme,"219,80 €",140 €,"Ecran 6.2"" Réseau 5G Mémoire 128 Go / RAM 8 Go Android Exynos 2100 Double SIM Couleur Gris phantôme"
Samsung Galaxy S22 Ultra 5G 128 Go Noir fantôme,"428,39 €",380 €,"Ecran 6.8"" Réseau 5G Mémoire 128 Go / RAM 8 Go Android Exynos 2200 Double SIM Couleur Noir fantôme"
Samsung Galaxy S23 Plus 256 Go Noir fantôme,"507,39 €","519,85 €","Ecran 6.6"" Réseau 5G Mémoire 256 Go / RAM 8 Go Android Snapdragon 8 Gen 2 Double SIM Couleur Noir fantôme"
Google Pixel 8 128 Go Obsidien,"509,98 €",520 €,"Ecran 6.2"" Réseau 5G Mémoire 128 Go / RAM 8 Go Android 14 Tensor G3 Double SIM Couleur Obsidien"
Apple iPhone 13 Rose 128 Go,"557,32 €","408,47 €","Ecran 6.1"" Réseau 5G iOS 15 A15 Bionic Double SIM Couleur Rose"
