Article,neuf_price,occasion_price,description
Sony Xperia 5 II Dual-SIM 128Go bleu,N/A,N/A,N/A
Sony Xperia XA1 Noir,N/A,N/A,N/A
Smartphone Sony Xperia 10 V Blanc 5G,N/A,N/A,N/A
Sony Xperia 1 IV 5G Dual-SIM 256 Go Violet,N/A,N/A,N/A
Smartphone SONY XPERIA 10 V Noir 5G,"378,88 €",N/A,"Ecran 5"" Réseau 5G Mémoire 128 Go / RAM 6 Go Android Double SIM"
Smartphone Sony Xperia 1 V Noir 5G,"785,21 €",N/A,"Ecran 5"" Réseau 5G Mémoire 256 Go / RAM 12 Go Android Double SIM"
Sony Xperia 1 V 5G Double SIM 256 Go Vert Kaki,"786,38 €",N/A,"Ecran 6.5"" Réseau 5G Mémoire 256 Go / RAM 12 Go Android Double SIM"
Sony Xperia 1 III 5G Dual Sim 12Go Ram 256Go Violet,"529,98 €",N/A,"Ecran 5"" Réseau 5G Android Double SIM"
Sony XPERIA XZ Premium 64 Go Argent,N/A,N/A,N/A
Sony Xperia 5 IV 5G Dual-SIM 128 Go Noir,N/A,N/A,N/A
Sony Xperia 1 IV 5G Dual-SIM 256 Go Noir,N/A,N/A,N/A
Sony Xperia 1 VI 5G Nano SIM 256 Go Noir,"1 248,90 €",N/A,"Ecran 5"" Réseau 5G Mémoire 256 Go / RAM 12 Go Android"
Sony Xperia 1 IV 5G Dual-SIM 256 Go Violet,"640,18 €",N/A,"Ecran 5"" Réseau 5G Mémoire 256 Go / RAM 12 Go Android Double SIM"
Sony Xperia 1 Dual SIM 128 Go Noir,"329,98 €",N/A,"Ecran 6.5"" Réseau 4G Mémoire 128 Go / RAM 6 Go Android 9.0 Pie Snapdragon 855 Double SIM Couleur Noir"
Sony XPERIA XA2 Ultra 32 Go Double SIM Noir,"169,96 €",N/A,"Ecran 6"" Réseau 4G Mémoire 32 Go / RAM 4 Go Android 8.0 Oreo Snapdragon 630 Double SIM Couleur Noir"
Sony Xperia 5 Dual SIM 128 Go Noir,"299,98 €",N/A,"Ecran 5"" Android Double SIM"
Sony XPERIA XA2 32 Go Argent,"127,68 €",N/A,"Ecran 5.2"" Réseau 4G Mémoire 32 Go / RAM 3 Go Android 8.0 Oreo Snapdragon 630 Single-SIM (SIM unique) Couleur Argent"
Sony Xperia 5 V Dual-SIM 128 Go Noir,999 €,N/A,"Ecran 5"" Mémoire 128 Go / RAM 8 Go Android Double SIM"
Sony Xperia 1 III 5G Dual SIM 256 Go Noir,"499,52 €",N/A,"Ecran 5"" Réseau 5G Mémoire 256 Go / RAM 12 Go Android Double SIM"
Sony Xperia XZ2 Single-Sim 64Go rose,N/A,N/A,N/A
SONY Xperia XZ Premium Noir 64Go,N/A,N/A,N/A
Sony Ericsson J20 Rouge,69 €,N/A,Réseau 3G Single-SIM (SIM unique)
Sony XPERIA XA1 32 Go Noir,"40,90 €",N/A,"Ecran 5"" Réseau 4G Mémoire 32 Go / RAM 3 Go Android 7.0 Nougat MT6757 Single-SIM (SIM unique) Couleur Noir"
