Article,neuf_price,occasion_price,description
telefunken telephone mobile s430 senior,"46,15 €",N/A,
telefunken telephone mobile s445,"56,51 €",N/A,
telefunken telephone mobile s460 2.8,"63,63 €",N/A,
telefunken telephone mobile s445,"57,46 €",N/A,
telefunken telephone mobile s415,"81,84 €",N/A,
telefunken telephone mobile s460,"59,99 €",N/A,
telefunken telephone mobile s430 2.8,"46,15 €",N/A,
telefunken telephone mobile s415,"34,99 €",N/A,
telefunken telephone mobile s450,"80,04 €",N/A,
Telefunken Doro 2424 rouge SENIOR,28 €,N/A,Single-SIM (SIM unique)
Téléphone portable TELEFUNKEN S740 Noir,"78,01 €",45 €,
Telefunken GSM S520 Red,"52,70 €",N/A,
TELEFUNKEN S740 Red,"89,99 €","84,95 €",
TELEFUNKEN S440 Red,"31,81 €",N/A,
Téléphone Portable Telefunken S560 rouge senior,"49,56 €",40 €,
Telefunken TM 360 COSI 512 Mo Rouge,"112,71 €",N/A,"Ecran 2.8"" Réseau 3G Mémoire 32 Go / RAM 256 Mo Android 4.4 (KitKat) Single-SIM (SIM unique) Couleur Rouge"
Telefunken TM 250 IZY Rouge,38 €,N/A,"Ecran 2.4"" Single-SIM (SIM unique) Couleur Rouge"
Telefunken TM 250 IZY Noir,"50,72 €",N/A,"Ecran 2.4"" Single-SIM (SIM unique) Couleur Noir"
Telefunken TM260 Cosi Brown,"138,02 €",N/A,
Telefunken TM 260 COSI Rouge,"174,16 €",N/A,"Ecran 2.6"" Single-SIM (SIM unique) Couleur Rouge"
Telefunken GSM S520 Black,"19,79 €",N/A,
telefunken telephone mobile s430 senior,"46,15 €",N/A,
telefunken telephone mobile s445,"56,51 €",N/A,
telefunken telephone mobile s460 2.8,"63,63 €",N/A,
telefunken telephone mobile s445,"57,46 €",N/A,
telefunken telephone mobile s415,"81,84 €",N/A,
telefunken telephone mobile s460,"59,99 €",N/A,
telefunken telephone mobile s430 2.8,"46,15 €",N/A,
telefunken telephone mobile s415,"34,99 €",N/A,
telefunken telephone mobile s450,"80,04 €",N/A,
Telefunken Doro 2424 rouge SENIOR,28 €,N/A,Single-SIM (SIM unique)
Téléphone portable TELEFUNKEN S740 Noir,"78,01 €",45 €,
Telefunken GSM S520 Red,"52,70 €",N/A,
TELEFUNKEN S740 Red,"89,99 €","84,95 €",
TELEFUNKEN S440 Red,"31,81 €",N/A,
Téléphone Portable Telefunken S560 rouge senior,"49,56 €",40 €,
Telefunken TM 360 COSI 512 Mo Rouge,"112,71 €",N/A,"Ecran 2.8"" Réseau 3G Mémoire 32 Go / RAM 256 Mo Android 4.4 (KitKat) Single-SIM (SIM unique) Couleur Rouge"
Telefunken TM 250 IZY Rouge,38 €,N/A,"Ecran 2.4"" Single-SIM (SIM unique) Couleur Rouge"
Telefunken TM 250 IZY Noir,"50,72 €",N/A,"Ecran 2.4"" Single-SIM (SIM unique) Couleur Noir"
Telefunken TM260 Cosi Brown,"138,02 €",N/A,
Telefunken TM 260 COSI Rouge,"174,16 €",N/A,"Ecran 2.6"" Single-SIM (SIM unique) Couleur Rouge"
Telefunken GSM S520 Black,"19,79 €",N/A,
