Article,neuf_price,occasion_price,description
VIVO Y22S 6 GO 128 GO SUMMER CYAN,N/A,N/A,N/A
Vivo Y70 128 Go Noir gravité,N/A,N/A,N/A
Vivo Y52 5G 128 Go Bleu irisé,N/A,N/A,N/A
Smartphone VIVO X80 Pro Noir 5G,524 €,N/A,Réseau 5G
Vivo Y21S 128 Go Bleu nuit,"123,96 €",N/A,"Ecran 6.51"" Réseau 4G Mémoire 128 Go / RAM 4 Go Funtouch OS 11.1 (based on Android 11) Helio G80 Double SIM Couleur Bleu nuit"
VIVO Y97 128 Go Double SIM Noir,"79,99 €",N/A,Mémoire 128 Go / RAM 4 Go Double SIM
Vivo V21 5G 128 Go Bleu nuit,"169,60 €",120 €,"Ecran 6.44"" Réseau 5G Mémoire 128 Go / RAM 8 Go Funtouch OS 11.1 (based on Android 11) Dimensity 800U Double SIM Couleur Bleu nuit"
Vivo Y72 5G 128 Go Noir graphite,229 €,N/A,"Ecran 6.58"" Réseau 5G Mémoire 128 Go / RAM 8 Go Funtouch OS 11.1 (based on Android 11) Dimensity 700 Double SIM Couleur Noir graphite"
Smartphone Y01 - 4G - 32Go - Bleu VIVO,150 €,N/A,Réseau 4G
Vivo Y93 64 Go Double SIM Noir étoilé,47 €,N/A,Mémoire 64 Go / RAM 4 Go Double SIM
Vivo V30 Pro 5G 12 Go 512 Go Noir (Noir Noble) Double SIM,"756,15 €",N/A,Réseau 5G Double SIM
Vivo Y97 128 Go Dual SIM Bleu,"79,99 €",N/A,Mémoire 128 Go / RAM 4 Go Double SIM
Vivo X Fold+ 512 Go Bleu,899 €,N/A,
Vivo IQoo 10 Pro Edition BMW 256 Go Blanc,550 €,N/A,Mémoire 256 Go / RAM 16 Go
Vivo Y52 5G 128 Go Noir Édition Limitée,265 €,N/A,Réseau 5G Mémoire 128 Go / RAM 4 Go
"Smartphone Vivo Y76 6,58"" 5G 128 Go Double SIM Gris minuit","442,11 €",N/A,Réseau 5G Double SIM
"Pack Smartphone Vivo Y21 6,51"" Double nano SIM 64Go Bleu + Coque et Ring Holder Spécial Coupe du Monde","167,38 €",N/A,
Vivo Nex 3S 5G 8/256 Go Dual-SIM Bleu Argent,500 €,N/A,Réseau 5G Mémoire 256 Go / RAM 8 Go Double SIM
Vivo V29 Dual-SIM 5G 256 Go Noir,324 €,N/A,Réseau 5G Mémoire 256 Go / RAM 8 Go Double SIM
"Smartphone Vivo Y76 6,58"" 5G 128 Go Double SIM Bleu aurore","311,28 €",N/A,Réseau 5G Double SIM
Pack Smartphone Vivo Y16 128Go Noir et Ballon Vivo Coupe du Monde,173 €,N/A,
Vivo Y67 4/32 Go Dual-SIM Or,"97,68 €",N/A,Mémoire 32 Go / RAM 4 Go Double SIM
Vivo Y93 64 Go Dual-SIM Rouge,"108,66 €",N/A,Mémoire 64 Go / RAM 4 Go Double SIM
Smartphone Vivo X90 Pro Noir 5G,"979,88 €",N/A,Réseau 5G Mémoire 256 Go / RAM 12 Go
Vivo Y17 128 Go Violet Mystique,"149,60 €",N/A,Mémoire 128 Go / RAM 4 Go
Vivo Y17 128 Go Bleu,"149,60 €",N/A,
Vivo Y16 128 Go Or étincelant,"150,76 €",N/A,"Ecran 6.51"" Réseau 4G Mémoire 128 Go / RAM 4 Go Funtouch OS 12 (basé sur Android 12) Helio P35 Double SIM Couleur Or étincelant"
Smartphone VIVO Pack Y33s Noir + Coque,259 €,N/A,Mémoire 128 Go / RAM 8 Go
Vivo X80 Pro 256 Go Noir Cosmique,"459,99 €",N/A,
VIVO Y22S 6 GO 128 GO STARLIT BLUE,"160,67 €",150 €,
