Article,neuf_price,occasion_price,description
Wiko TOMMY 2 8 Go Double SIM Mélange de bleu et de vert,69 €,N/A,"Ecran 5.7"" Réseau 4G Mémoire 8 Go / RAM 1 Go Android 7.1 Nougat Double SIM Couleur Mélange de bleu et de vert"
Wiko Lubi5 Plus Double SIM Noir,"37,90 €",N/A,"Ecran 5.7"" Double SIM Couleur Noir"
Wiko CINK SLIM 4 Go Double SIM Bleu velours,30 €,N/A,"Ecran 5.7"" Réseau 3G Mémoire 4 Go / RAM 512 Mo Android 4.0.4 (Ice Cream Sandwich) Cortex-A9 Double SIM Couleur Bleu velours"
Wiko Y60 16 Go Double SIM Or,60 €,N/A,"Ecran 5.7"" Réseau 4G Mémoire 16 Go / RAM 1 Go Android 9.0 Pie (Go edition) Cortex-A53 Double SIM Couleur Or"
Wiko Sunset 2 4 Go Double SIM Corail,N/A,N/A,"Ecran 5.7"" Réseau 3G Mémoire 4 Go / RAM 512 Mo Android 4.4 (KitKat) Cortex-A7 Double SIM Couleur Corail"
Wiko Jerry 8 Go Double SIM Blanc/Gris,"34,90 €",N/A,"Ecran 5"" Mémoire 8 Go / RAM 1 Go Double SIM"
Smartphone wiko wax 4G,90 €,N/A,"Ecran 4.9"" Réseau 4G"
Wiko mobiwire doli noir,10 €,N/A,"Ecran 4.9"" Single-SIM (SIM unique)"
Wiko Lenny 2 4 Go Bleu canard (Bleen),N/A,N/A,"Ecran 5"""
Pack Wiko Sunny Double SIM 8 Go Noir + Folio Bleen,46 €,N/A,"Ecran 4.9"" Double SIM"
Wiko Lubi 5 Noir,58 €,N/A,"Ecran 4.9"" Single-SIM (SIM unique)"
SMARTPHONE WIKO Y51 8GO GRIS,50 €,N/A,"Ecran 4.9"""
Wiko Y62 16 Go Bleu clair,59 €,N/A,"Ecran 6.1"" Réseau 4G Mémoire 16 Go / RAM 1 Go Android 11 (Go edition) Double SIM Couleur Bleu clair"
Wiko Power U20 64 Go Bleu marine,110 €,N/A,"Ecran 6.82"" Réseau 4G Mémoire 64 Go / RAM 3 Go Android 11 Helio G35 Double SIM Couleur Bleu marine"
"Wiko Smartphone Sublim Made with Swarovski Zirconia (10,16 cm (4 Pouces) IPS, 1 GHz, Dual Core, 512 Mo RAM, 4 Go de Stockage, Appareil Photo","257,08 €",N/A,"Ecran 5.7"""
Wiko Y61 16 Go Vert foncé,79 €,N/A,"Ecran 6"" Réseau 4G Mémoire 16 Go / RAM 1 Go Android 10 (Go edition) Double SIM Couleur Vert foncé"
Wiko Y81 Dual SIM 32 Go Vert,55 €,N/A,"Ecran 5.7"" Double SIM"
Wiko Y61 16 Go Or,60 €,N/A,"Ecran 6"" Réseau 4G Mémoire 16 Go / RAM 1 Go Android 10 (Go edition) Double SIM Couleur Or"
Wiko LENNY 3 16 Go Double SIM Gris,49 €,N/A,"Ecran 5.7"" Réseau 3G Mémoire 16 Go / RAM 1 Go Android 6.0 (Marshmallow) Double SIM Couleur Gris"
Wiko Y50 16 Go Gris foncé,45 €,N/A,"Ecran 5"" Réseau 3G Mémoire 16 Go / RAM 1 Go Android 8.0 Oreo (édition Go) Cortex-A7 Double SIM Couleur Gris foncé"
Wiko Y60 16 Go Dégradé bleu foncé,50 €,N/A,"Ecran 5.45"" Réseau 4G Mémoire 16 Go / RAM 1 Go Android 9.0 Pie (Go edition) Cortex-A53 Double SIM Couleur Dégradé bleu foncé"
Wiko SUNNY 3 8 Go Double SIM Vert,N/A,N/A,"Ecran 5.7"" Réseau 3G Mémoire 8 Go / RAM 512 Mo Android 8.0 Oreo (édition Go) Cortex-A7 Double SIM Couleur Mélange de bleu et de vert"
WIKO Lenny5 Or,"78,99 €",N/A,"Ecran 5.7"" Single-SIM (SIM unique)"
Wiko CINK SLIM 4 Go Double SIM Blanc,20 €,N/A,"Ecran 5.7"" Réseau 3G Mémoire 4 Go / RAM 512 Mo Android 4.0.4 (Ice Cream Sandwich) Cortex-A9 Double SIM Couleur Blanc"
