Article,neuf_price,occasion_price,description
Xiaomi Redmi Note 13 5G 256 Go Noir graphite,N/A,N/A,N/A
Xiaomi MI 11 Lite 128 Go / 6 Go Noir,N/A,N/A,N/A
Xiaomi Redmi Note 13 Pro 5G 512 Go Violet,N/A,N/A,N/A
Xiaomi Mi 11i 5G 8/256 Go Double Sim - Noir cosmique,N/A,N/A,N/A
Xiaomi Redmi Note 13 Pro 5G 256 Go Noir minuit,"268,83 €","269,22 €","Ecran 6.67"" Réseau 5G Mémoire 256 Go / RAM 8 Go Android 13 Snapdragon 7s Gen 2 Double SIM Couleur Noir minuit"
Xiaomi 14 5G Dual-SIM 12/512 Go Vert,713 €,N/A,"Ecran 6.36"" Réseau 5G Mémoire 512 Go / RAM 12 Go Android 14 Double SIM Couleur Vert"
Xiaomi 14 Ultra conçu avec Leica - 5G/Wi-fi7 - 16/512Go - Noir,"999,99 €","999,89 €","Ecran 6.73"" Réseau 5G Mémoire 512 Go / RAM 16 Go Android 14 Double SIM Couleur Noir"
Xiaomi Redmi Note 13 4G 6 Go 128 Go Noir minuit,"149,99 €","138,99 €","Ecran 6.67"" Réseau 4G Mémoire 128 Go / RAM 6 Go Android 13 Double SIM Couleur Noir minuit"
Xiaomi 12 8/256 Go Gris,N/A,N/A,N/A
Xiaomi POCO F5 Pro 5G Dual-SIM 512 Go Noir,N/A,N/A,N/A
Xiaomi Mi Max 2 4GB+128GB Or,N/A,N/A,N/A
Xiaomi Redmi Note 13 5G 256 Go Noir graphite,"214,87 €",N/A,"Ecran 6.67"" Réseau 5G Mémoire 256 Go / RAM 8 Go Android 13 Dimensity 6080 Double SIM Couleur Noir graphite"
Xiaomi Redmi Note 13 Pro+ 5G Dual-SIM 256 Go Blanc,"319,62 €",280 €,"Ecran 6.67"" Réseau 5G Mémoire 256 Go / RAM 8 Go Android 13 Double SIM Couleur Blanc"
Xiaomi Redmi Note 13 Pro 4G 8 Go 256 Go Noir minuit,"219,99 €","205,17 €","Ecran 6.67"" Réseau 4G Mémoire 256 Go / RAM 8 Go Android 13 Double SIM Couleur Noir"
Xiaomi Redmi Note 13 Pro+ 5G 256 Go Noir minuit,"322,99 €",N/A,"Ecran 6.67"" Réseau 5G Mémoire 256 Go / RAM 8 Go Android 13 Double SIM Couleur Noir minuit"
Xiaomi Redmi Note 11 Pro 5G 6/128 Go Gris Graphite,"202,38 €",136 €,"Ecran 6.67"" Réseau 5G Mémoire 128 Go / RAM 6 Go Android 11 Snapdragon 695 Double SIM Couleur Gris graphite"
Xiaomi Poco F6 5G Dual-SIM 512 Go Noir,"405,99 €",N/A,Réseau 5G Mémoire 512 Go / RAM 12 Go Android Double SIM
Xiaomi Poco X6 5G Double SIM 8/256 Go Noir,"219,99 €",N/A,Réseau 5G Mémoire 256 Go / RAM 8 Go Android Double SIM
Xiaomi Redmi Note 13 Pro+ 5G Dual-SIM 256 Go Violet,"327,98 €",280 €,"Ecran 6.67"" Réseau 5G Mémoire 256 Go / RAM 8 Go Android 13 Double SIM"
Xiaomi Redmi Note 13 Pro+ 5G Dual-SIM 512 Go Noir,N/A,N/A,N/A
Xiaomi Poco M6 Pro Double SIM 256 Go Noir,"183,99 €","175,98 €",Mémoire 256 Go / RAM 8 Go Android Double SIM
Xiaomi Redmi Note 12S Dual-SIM 256 Go Noir,"149,99 €",128 €,"Ecran 6.43"" Mémoire 256 Go / RAM 8 Go Android 13 Double SIM Couleur Noir"
"Xiaomi Redmi 12 8 Go/256 Go NFC 6.79"" Noir","126,30 €",219 €,Mémoire 256 Go / RAM 8 Go Android Double SIM
