Article,neuf_price,occasion_price,description
ZTE lame A31 plus 2 + 32 Go DS 4G bleu OEM,N/A,N/A,N/A
ZTE blade A31 plus 2+32GB DS 4G gris OEM,N/A,N/A,N/A
ZTE lame A31 plus 2 + 32 Go DS 4G bleu OEM,"44,99 €",N/A,Réseau 4G
ZTE blade A31 plus 2+32GB DS 4G gris OEM,"44,99 €",N/A,Réseau 4G
"ZTE Nubia Musique Pop Art 4+128 Go 6,6"" 90 Hz Hd+","141,50 €",N/A,
ZTE Blade A31 32 Go Gris,"130,56 €",N/A,"Ecran 5.45"" Réseau 4G Mémoire 32 Go / RAM 2 Go Android 11 (Go edition) Double SIM Couleur Gris"
"ZTE Blade A35 lite 5 0"" IPS 2+2 Go 32 Go Gris","71,89 €",N/A,"Ecran 5"""
"ZTE Blade A54 6,6"" HD+ 4 Go(+4 Go) 64 Go Gris foncé","91,34 €",N/A,
ZTE blade V50 vita 14 + 256 Go (4 + 10 Go de RAM) 4G noir mystique OEM,"107,53 €",N/A,Réseau 4G
Smartphone ZTE BLADE ZTEA54128GRY A54 4GB 128GB Grigio,"95,09 €",N/A,
ZTE lame X10 PRO 4+64GB noir 4G,"123,89 €",N/A,Réseau 4G
Smartphone ZTE BLADE ZTEA5464GRY A54 4GB 64GB Grigio,"83,10 €",N/A,
ZTE blade V50 design 8+128GB(4+4G ram)5g gris mat OEM,"137,36 €",N/A,Réseau 4G
"ZTE Blade A54 6,6"" HD+ 4 Go(+4 Go) 64 Go Bleu glacier","91,34 €",N/A,
"Smartphone ZTE Nubia NEO 8 Go / 256 Go DS 5G 6,6"" Jaune OEM","219,38 €",N/A,"Ecran 6.6"" Réseau 5G Mémoire 256 Go / RAM 8 Go"
zte telephone intelligent blade a73 4gb 128gb 6.6 dual sim,"102,79 €",N/A,Double SIM
Smartphone ZTE BLADE ZTEAV50D256BLK V50 DESIGN 8GB 256GB Nero,"134,89 €",N/A,
ZTE lame A34 6 + 64 Go (2 + 4 Go de RAM) 4G gris OEM,"86,82 €",N/A,Réseau 4G
ZTE blade A51 lite 4G 2+32GB vert UE,"85,77 €",N/A,Réseau 4G
"Zte Blade A73 Noir sidéral 4+128 Go 6,6"" 90 Hz HD+","104,89 €",N/A,
ZTE blade A73 4 + 256 Go DS 4G espace noir OEM,"121,92 €",N/A,Réseau 4G
ZTE lame A33 noyau 1 + 32 go gris OE,"50,40 €",N/A,
ZTE blade A53 2+32GB DS 4G gris sidéral OEM,"120,72 €",N/A,Réseau 4G
ZTE blade A53 PRO 4+4 8 Go de RAM dynamique 64 Go DS 4G bleu nuit OEM,"60,83 €",N/A,Réseau 4G
"ZTE Blade V50 Design 6,6"" FHD+ 4 Go (+ 10 Go) 256 Go Noir","127,02 €",N/A,
ZTE blade A53 2+32GB DS 4G bleu lac,"68,10 €",N/A,Réseau 4G
ZTE X760 Blanc,41 €,N/A,Single-SIM (SIM unique)
"ZTE Blade A72s 6,74"" HD+ 3 Go 64 Go Bleu ciel",242 €,N/A,
"ZTE Blade A34 6,6"" HD+ 2 Go(+4 Go) 64 Go Gris","58,99 €",N/A,
ZTE blade A31 lite 1+32gb 4g gris oem,"123,98 €",N/A,Réseau 4G
"ZTE Blade A34 6,6"" HD+ 2 Go(+4 Go) 64 Go Vert","73,25 €",N/A,
"ZTE Blade V40 Design 6,6"" FHD+ 4 Go/128 Go NFC Bleu","177,66 €",N/A,
ZTE blade A72 4+64GB DS 4G gris sidéral,"144,09 €",N/A,Réseau 4G
ZTE blade L9 1+32GB gris,"31,99 €",N/A,
Zte Blade A72s 3/128gb Gry,"97,89 €",N/A,
Zte Blade A72s 3/128gb Blu,"97,89 €",N/A,
