Article,neuf_price,occasion_price,description
Apple iPhone 12 Pro Max Or 512 Go,N/A,N/A,N/A
Apple iPhone 11 128 Go Vert,N/A,N/A,N/A
Apple iPhone 15 Pro Max 256 Go Titane naturel,N/A,N/A,N/A
Apple iPhone 15 Pro 128 Go Titane noir,N/A,N/A,N/A
Apple iPhone 15 128 Go Noir,699 €,"695,99 €","Ecran 6.1"" Réseau 5G iOS 17 A16 Bionic Double SIM Couleur Noir"
Apple iPhone 15 Pro Max 256 Go Titane naturel,"1 159,99 €",1 000 €,"Ecran 6.7"" Réseau 5G iOS 17 A17 Pro Double SIM Couleur Titane Naturel"
Apple iPhone 15 128 Go Bleu,699 €,650 €,"Ecran 6.1"" Réseau 5G iOS 17 A16 Bionic Double SIM Couleur Bleu"
Apple iPhone 13 Noir minuit 128 Go,"575,58 €",397 €,"Ecran 6.1"" Réseau 5G iOS 15 A15 Bionic Double SIM Couleur Noir minuit"
Apple iPhone XR 64 Go Jaune,N/A,N/A,N/A
Apple iPhone 11 Pro Max 64 Go Argent,N/A,N/A,N/A
Apple iPhone 15 Pro 256 Go Titane bleu,N/A,N/A,N/A
Apple iPhone 15 Pro Max 256 Go Titane bleu,1 159 €,1 119 €,"Ecran 6.7"" Réseau 5G iOS 17 A17 Pro Double SIM Couleur Bleu titane"
Apple iPhone 15 128 Go Rose,699 €,700 €,"Ecran 6.1"" Réseau 5G iOS 17 A16 Bionic Double SIM Couleur Rose"
Apple iPhone 13 Blanc Lumière stellaire 128 Go,"576,60 €",397 €,"Ecran 6.1"" Réseau 5G iOS 15 A15 Bionic Double SIM Couleur Lumiere stellaire"
Apple iPhone 15 Pro 256 Go Titane naturel,"1 029,99 €","889,90 €","Ecran 6.1"" Réseau 5G iOS 17 A17 Pro Double SIM Couleur Titane Naturel"
Apple iPhone 12 Noir 128 Go,509 €,"279,89 €","Ecran 6.1"" Réseau 5G iOS 14 A14 Bionic Double SIM Couleur Noir"
Apple iPhone 13 Rose 128 Go,"557,32 €","408,47 €","Ecran 6.1"" Réseau 5G iOS 15 A15 Bionic Double SIM Couleur Rose"
Apple iPhone 14 Lumiere Stellaire 128 Go,"648,99 €","518,99 €","Ecran 6.1"" Réseau 5G iOS 16 A15 Bionic Double SIM Couleur Lumiere stellaire"
Apple iPhone 14 Mauve 128 Go,"648,99 €","518,99 €","Ecran 6.1"" Réseau 5G iOS 16 A15 Bionic Double SIM Couleur Violet"
Apple iPhone 13 Pro Max Vert alpin 512 Go,N/A,N/A,N/A
Apple iPhone 14 Noir minuit 128 Go,"648,99 €","509,99 €","Ecran 6.1"" Réseau 5G iOS 16 A15 Bionic Double SIM Couleur Noir minuit"
Apple iPhone 15 Pro 128 Go Titane naturel,"929,89 €","968,36 €","Ecran 6.1"" Réseau 5G iOS 17 A17 Pro Double SIM Couleur Titane Naturel"
Apple iPhone 13 Bleu 128 Go,"557,32 €",399 €,"Ecran 6.1"" Réseau 5G iOS 15 A15 Bionic Double SIM Couleur Bleu"
Apple iPhone 14 Bleu 128 Go,"654,90 €","499,45 €","Ecran 6.1"" Réseau 5G iOS 16 A15 Bionic Double SIM Couleur Bleu"
Apple iPhone 12 Noir 64 Go,469 €,"267,99 €","Ecran 6.1"" Réseau 5G iOS 14 A14 Bionic Double SIM Couleur Noir"
Apple iPhone 13 Noir Minuit 256 Go,"677,70 €",415 €,"Ecran 6.1"" Réseau 5G iOS 15 A15 Bionic Double SIM Couleur Noir minuit"
Apple iPhone 12 Bleu 128 Go,"612,48 €","289,90 €","Ecran 6.1"" Réseau 5G iOS 14 A14 Bionic Double SIM Couleur Bleu"
