Article,neuf_price,occasion_price,description
"Ulefone Armor 23 Ultra 5G Incassable 2024 24Go+512Go Satellitaire GPS SMS 6.78""FHD+/120Hz Smartphone Incassable Android 13 - Noir",N/A,N/A,N/A
Ulefone Power Armor 18 Ultra Dual 5G 512 Go 12 Go RAM Noir,"406,48 €",N/A,Réseau 5G Double SIM
"Ulefone Armor 23 Ultra 5G Incassable 2024 24Go+512Go Satellitaire GPS SMS 6.78""FHD+/120Hz Smartphone Incassable Android 13 - Noir","528,99 €",N/A,Réseau 5G Mémoire 512 Go / RAM 12 Go Android Double SIM
Ulefone Power Armor 18T Ultra Dual 5G 512 Go 12 Go de RAM Noir,565 €,N/A,Réseau 5G Double SIM
Ulefone Armor 23 Ultra Dual LTE 512 Go 12 Go RAM Noir,"474,81 €",N/A,Double SIM
"Ulefone Armor 21 Incassable 16+256Go/2To Extensible, 9600mAh(33W) 20MP Nocturne Vision, 6.58""FHD+,122dB Haut-Parleur Smartphone 4G Dual SIM/NFC/GPS - Noir","279,96 €",N/A,Réseau 4G Mémoire 256 Go / RAM 8 Go Double SIM
Ulefone Armor 22 Dual LTE 256 Go 8 Go de RAM Vert,9 999 €,N/A,Double SIM
Ulefone Power Armor 16 Pro Double LTE 64 Go 4 Go de RAM Orange,"181,22 €",N/A,Double SIM
Ulefone Note 14 Dual LTE 64GB 4GB RAM (Midnight Black) Black,"99,99 €",N/A,Double SIM
Ulefone Power Armor 16s Dual LTE 128 Go 8 Go RAM Orange,"190,50 €",N/A,Double SIM
Ulefone Armor 6 128 Go Noir,60 €,N/A,Double SIM
Ulefone armor 23 ultra 12+512 Go DS 5G umbra orange OEM,"584,99 €",N/A,Réseau 5G Double SIM
Ulefone Note 12 128 Go Dual SIM Rouge,"89,99 €",N/A,Double SIM
Ulefone Power Armor 16s Dual LTE 128 Go 8 Go RAM Noir,"190,50 €",N/A,Double SIM
Smarthax Movie 16 Go Or,45 €,N/A,
Ulefone Armor 3 64 Go Double SIM Noir,179 €,N/A,Double SIM
"Ulefone Power Armor 19T Incassable 17Go+256Go, 108MP+Caméra d'imagerie Thermique 9600mAh 6.58"" FHD+ Smartphone 4G, NFC OTG Noir","449,97 €",N/A,Réseau 4G Mémoire 256 Go / RAM 12 Go Double SIM
Ulefone Armor X12 3 + 32 Go moins OEM vert,"115,89 €",N/A,Double SIM
Ulefone Note 17 Pro Dual LTE 256 Go 12 Go RAM Orange,"280,73 €",N/A,Double SIM
Ulefone Note 17 Pro double LTE 256 Go 12 Go RAM noir,"280,73 €",N/A,Double SIM
"Ulefone Armor 22 Incassable 16Go+256Go Android 13, 64MP Nocturne Vision Smartphone 6.58"" FHD+, 6600mAh (33W) 4G Dual SIM/NFC/GPS - Noir","259,96 €",N/A,Réseau 4G Mémoire 256 Go / RAM 8 Go Android Double SIM
"Ulefone Power Armor 18T Ultra 5G Incassable Imagerie Thermique 24Go+512Go Android 13 Téléphone 6.58"" FHD+ 108MP 9600mAh Noir","639,96 €",N/A,Réseau 5G Mémoire 512 Go / RAM 12 Go Android Double SIM
ulefone telephone intelligent note 14 3gb 16gb 6.5,"86,33 €",N/A,Double SIM
Ulefone Note 17 Pro double LTE 256 Go 12 Go de RAM blanc,"280,73 €",N/A,Double SIM
"Ulefone Armor 22 Incassable 16Go+256Go Android 13, 64MP Nocturne Vision Smartphone 6.58"" FHD+, 6600mAh (33W) 4G Dual SIM/NFC/GPS - Vert","259,96 €",N/A,Réseau 4G Mémoire 256 Go / RAM 8 Go Android Double SIM
Ulefone Armor X12 3 + 32 Go certains OEM 4G orange,"115,89 €",N/A,Réseau 4G Double SIM
Ulefone Armor 22 Dual LTE 256 Go 8 Go RAM Noir,"222,08 €",N/A,Double SIM
Ulefone Armor X12 PRO 4 + 64 Go DS 4G certains OEM orange,"128,86 €",N/A,Réseau 4G Double SIM
Ulefone Armor 22 Dual LTE 128 Go 8 Go de RAM Vert,"202,52 €",N/A,Double SIM
Ulefone armor X12 3+32GB TOUT noir OEM,"115,89 €",N/A,Double SIM
Ulefone Armor X13 6 + 64 Go DS 4G certains OEM orange,"187,02 €",N/A,Réseau 4G Double SIM
Ulefone Armor 24 12+256 Go noir OEM,"288,26 €",340 €,Double SIM
Ulefone Note 16 Pro Dual LTE 256 Go 8 Go RAM Bleu,"109,99 €",N/A,Double SIM
Ulefone Armor X12 PRO 4 + 64 Go DS 4G moins vert OEM,"128,86 €",N/A,Réseau 4G Double SIM
Ulefone armor X13 6+64GB DS 4G TOUT noir OEM,"163,79 €",N/A,Réseau 4G Double SIM
Ulefone armor X12 PRO 4+64GB DS 4G TOUT noir OEM,"128,86 €",N/A,Réseau 4G Double SIM
Ulefone Armor 22 8+128 Go noir,"233,05 €",N/A,Double SIM
Ulefone Note 16 Pro Double LTE 256 Go 8 Go de RAM Noir,"139,20 €",169 €,Double SIM
Ulefone note 16 PRO 8 + 128 Go noir OEM,"140,62 €",N/A,Double SIM
Ulefone Armor X6 Pro Dual SIM 32GB 4GB RAM Black,"134,40 €",N/A,Double SIM
Ulefone armor 20WT 12+256GB 4G black OEM,"319,31 €",N/A,Réseau 4G Double SIM
Armure de puissance Ulefone 19T 12+256GB noir 4G OEM,"470,59 €",N/A,Réseau 4G Double SIM
Ulefone Note 14 Dual LTE 64GB 4GB RAM (Mint Green) Green,100 €,N/A,Double SIM
Ulefone Power Armor 18 Dual 5G 256GB 12GB RAM Black,300 €,N/A,Réseau 5G Double SIM
Ulefone Power Armor 14 Pro black EU,"197,20 €","201,54 €",Double SIM
Ulefone armor X9 3+32GB DS 4G black OEM,"110,12 €",N/A,Réseau 4G Double SIM
Ulefone Power Armor 19 Dual LTE 256GB 12GB RAM Black,"333,20 €",N/A,Double SIM
Ulefone Armor X11 Pro Dual LTE 64GB 4GB RAM Black,"142,80 €","146,94 €",Double SIM
Ulefone Armor 15 Dual LTE 128GB 6GB RAM (Sport red) Red,"277,99 €",N/A,Double SIM
Ulefone armor 17 PRO 8+256GB DS 4G black OEM,"257,04 €",N/A,Réseau 4G Double SIM
Ulefone Armor 8 Pro Dual SIM 128GB 8GB RAM Orange,"229,44 €",N/A,Double SIM
Ulefone Power Armor 13 Dual LTE 128GB 8GB RAM Black,"267,79 €",N/A,Double SIM
Ulefone Armor 15 Dual LTE 128GB 6GB RAM (Tech Blue) Blue,"473,81 €",N/A,Double SIM
Ulefone Power Armor 18T Dual 5G 256GB 12GB RAM Black,500 €,N/A,Réseau 5G Double SIM
Ulefone Armor 12S Dual LTE 128GB 8GB RAM Black,"263,59 €",N/A,Double SIM
Ulefone armor X9 PRO 4+64GB DS 4G RED OEM,"237,58 €",N/A,Réseau 4G Double SIM
Ulefone Power Armor 16 Pro Dual LTE 64GB 4GB RAM Black,"152,32 €",N/A,Double SIM
Ulefone Armor 15 Dual LTE 128GB 6GB RAM Black,"194,99 €",N/A,Double SIM
Ulefone Armor 8 Pro 128GB blk EU,"206,97 €",N/A,Double SIM
Ulefone Armor X10 Pro 64 Go Gris,"139,81 €",N/A,Mémoire 64 Go / RAM 4 Go Double SIM
Ulefone Armor X10 Pro 64 Go Noir,"139,91 €",N/A,Mémoire 64 Go / RAM 4 Go Double SIM
Ulefone Armor X9 Pro 64 Go Noir,"142,74 €",N/A,Mémoire 64 Go / RAM 4 Go Double SIM
Ulefone Armor 14 Pro 128 Go Noir,243 €,N/A,Mémoire 128 Go / RAM 6 Go Double SIM
Ulefone Note 10P 128 Go Noir,108 €,N/A,Mémoire 128 Go / RAM 3 Go Double SIM
Ulefone Armor X10 Dual SIM 32GB 3GB RAM Black,139 €,N/A,Double SIM
Ulefone Armor X10 Dual SIM 32GB 3GB RAM Grey,149 €,N/A,Double SIM
Ulefone Power 6 Dual-SIM 4/64 Go Bleu,120 €,N/A,Double SIM
Ulefone Armor 11T 5G Dual SIM 256GB 8GB RAM Black,"438,50 €",N/A,Réseau 5G Double SIM
Ulefone Armor 11 5G Dual SIM 256GB 8GB RAM Black,"952,70 €",N/A,Réseau 5G Double SIM
Ulefone Armor 10 5G Dual SIM 128GB 8GB RAM Black,338 €,N/A,Réseau 5G Double SIM
Ulefone Note 10 Dual SIM 32GB 2GB RAM Red,"140,94 €",N/A,Double SIM
Ulefone Armor X5 Pro Dual SIM 64GB 4GB RAM Red,"198,90 €",N/A,Double SIM
Ulefone Watch Rose,"48,24 €",N/A,Double SIM
Ulefone Note 9P Dual SIM 64GB 4GB RAM Bleu,"169,05 €",N/A,Double SIM
Ulefone Armor X8 Dual SIM 64GB 4GB RAM Noir,"193,28 €",N/A,Double SIM
Ulefone Armor 8 Dual SIM 64GB 4GB RAM Rouge,"240,99 €",N/A,Double SIM
Ulefone Armor 9 Dual SIM 128GB 8GB RAM Noir,362 €,N/A,Double SIM
Ulefone Armor 8 Dual SIM 64GB 4GB RAM Orange,"240,99 €",N/A,Double SIM
Ulefone Armor X5 Pro Dual SIM 64GB 4GB RAM Noir,"198,90 €",N/A,Double SIM
Ulefone Armor X7 Pro Dual SIM 32GB 4GB RAM Noir Orange,"278,07 €",N/A,Double SIM
Ulefone Armor 8 Dual SIM 64GB 4GB RAM Noir,"155,49 €",N/A,Double SIM
Ulefone Armor X6 Dual SIM 16GB 2GB RAM Black,127 €,N/A,Double SIM
Ulefone Armor X5 Dual SIM 32GB 3GB RAM Noir,114 €,N/A,Double SIM
Ulefone Armor X3 Dual SIM 32GB 2GB RAM Orange,"156,58 €",N/A,Single-SIM (SIM unique)
Ulefone Armor X3 32Go(RAM 2Go) Dual SIM Rouge EU,85 €,N/A,Double SIM
Ulefone Armor X3 Dual SIM 32GB 2GB RAM Rouge,"156,58 €",N/A,Double SIM
Ulefone Armor X3 Dual SIM 32GB 2GB RAM Noir,"159,39 €",N/A,Double SIM
Ulefone Armor X3 32Go(RAM 2Go) Dual SIM Rouge EU,85 €,N/A,Double SIM
Ulefone Armor X3 Dual SIM 32GB 2GB RAM Rouge,"156,58 €",N/A,Double SIM
Ulefone Armor X3 Dual SIM 32GB 2GB RAM Noir,"159,39 €",N/A,Double SIM
Ulefone Power 5 Dual SIM LTE 64GB 6GB RAM Dark Gray,130 €,N/A,Double SIM
Ulefone Note 16 Pro 128 Go Bleu,120 €,N/A,Double SIM
