title,neuf_price,occasion_price
Huawei Mate 20 128 Go Noir,N/A,N/A
Samsung Galaxy A55 5G 256 Go Bleu clair,N/A,N/A
ZTE lame A31 plus 2 + 32 Go DS 4G bleu OEM,N/A,N/A
Oppo F11 6/128 Go Double SIM Noir,N/A,N/A
Apple iPhone 15 128 Go Noir,699 €,649 €
Apple iPhone 15 Pro Max 256 Go Titane naturel,"1 159,99 €",1 000 €
Apple iPhone 15 128 Go Bleu,699 €,649 €
Apple iPhone 15 128 Go Rose,699 €,700 €
Samsung Galaxy S21 FE 5G 128 Go Mauve,N/A,N/A
Huawei P30 lite 128 Go Noir minuit,N/A,N/A
Apple iPhone 15 Pro Max 256 Go Titane bleu,"1 159,99 €",1 049 €
Apple iPhone 13 Noir minuit 128 Go,"537,75 €",397 €
Samsung Galaxy S23 128 Go Noir fantôme,"408,56 €","393,56 €"
Samsung Galaxy S24 Ultra 256 Go Noir titane,"899,99 €",699 €
Google Pixel 7 128 Go Noir Obsidien,"293,93 €","269,90 €"
Apple iPhone 13 Blanc Lumière stellaire 128 Go,"576,59 €",397 €
Apple iPhone 15 Pro 256 Go Titane naturel,"1 039,99 €",929 €
Google Pixel 8 Pro 128 Go Obsidien,"678,99 €","745,74 €"
Apple iPhone 13 Rose 128 Go,"557,32 €","408,65 €"
Apple iPhone 14 Bleu 128 Go,"654,90 €",510 €
Samsung Galaxy S23 Plus 256 Go Noir fantôme,"508,21 €","519,85 €"
Apple iPhone 14 Mauve 128 Go,"648,99 €","510,79 €"
Apple iPhone 13 Bleu 128 Go,"557,32 €",408 €
Google Pixel 8 128 Go Obsidien,"509,98 €",520 €
Apple iPhone 12 Noir 128 Go,545 €,"279,89 €"
Apple iPhone 15 Pro 128 Go Titane naturel,"929,89 €","968,36 €"
Apple iPhone 14 Lumiere Stellaire 128 Go,"648,99 €","519,87 €"
Apple iPhone 14 Noir minuit 128 Go,"648,99 €","509,99 €"
Samsung Galaxy S22 Ultra 5G 128 Go Noir fantôme,"428,42 €",380 €
Samsung Galaxy S24 Ultra 256 Go Violet titane,"939,99 €",880 €
Samsung Galaxy S20 FE Fan Edition 5G 128 Go Bleu,160 €,140 €
Samsung Galaxy S22 128 Go Noir fantôme,"291,22 €",290 €
Samsung Galaxy S21 5G 128 Go Gris phantôme,"219,91 €",140 €
Google Pixel 7a Noir charbon 128 Go,"289,96 €",275 €
Google Pixel 7 Pro 128 Go Noir Obsidien,"385,32 €",404 €
Google Pixel 6 Pro Noir 128 Go,"198,56 €","278,67 €"
Samsung Galaxy S21 Ultra 5G 128 Go Noir fantôme,"290,74 €","353,99 €"
Samsung Galaxy Z Flip5 256 Go Graphite,"629,18 €",650 €
Apple iPhone 13 Noir Minuit 256 Go,"677,70 €",415 €
Apple iPhone 14 Plus Noir minuit 128 Go,693 €,"549,79 €"
Samsung Galaxy S22+ 128 Go Noir fantôme,"318,99 €",285 €
Apple iPhone 14 Plus Mauve 128 Go,713 €,"557,79 €"
Samsung Galaxy S21 FE 5G 128 Go Graphite,"220,51 €",175 €
Xiaomi Redmi Note 13 Pro 5G 256 Go Noir minuit,"268,85 €","269,22 €"
Apple iPhone 12 Bleu 128 Go,"612,48 €","289,90 €"
